id,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
ASZPZ7517X,inicialization,0.0871290708247231,0.0,8,0.0,,2,,,4,8
QUQYTPMONY,inicialization,0.18350341907227397,0.0,4,1.0,4,2,8,,3,4
YZCSCS9GIK,inicialization,0.27543116269052814,0.5238095238095237,3,0.0,3,35,6,8,2,3
1NPGFR05KV,inicialization,0.0425728922436619,0.0,5,1.0,4,12,5,2,4,5
G3JRNQMUPE,inicialization,0.18350341907227397,0.0,4,1.0,3,9,4,8,3,4
9HKNSBOB2A,inicialization,0.18350341907227397,0.0,4,1.0,4,9,5,7,3,4
U1S7G5LUBQ,inicialization,0.1339745962155613,0.0,3,0.0,4,17,3,3,2,3
FM5SKHEQY9,inicialization,0.27543116269052814,0.5238095238095237,3,0.0,4,34,7,9,2,3
EHAZZBV7OH,inicialization,0.3291796067500631,0.380952380952381,2,1.0,4,40,5,7,1,2
8ZA4D4ZKCA,inicialization,0.4083920216900384,0.380952380952381,2,0.0,4,37,2,5,1,2
7409MKVCP6,inicialization,0.1339745962155613,0.0,3,0.0,3,38,3,2,2,3
HX0KN4YI30,inicialization,0.4083920216900384,0.380952380952381,2,0.0,4,40,7,5,1,2
YTHHVJFTY7,inicialization,0.1339745962155613,0.0,4,1.0,3,9,4,2,3,4
OGG9OUQ20F,inicialization,0.18350341907227397,0.0,4,1.0,3,14,4,4,3,4
5L1THTXVVV,inicialization,0.27543116269052814,0.5238095238095237,4,0.0,4,32,7,9,3,4
4HJCOPJ64W,inicialization,0.27543116269052814,0.5238095238095237,3,0.0,4,35,5,8,2,3
CR3JQWZQNE,inicialization,0.2928932188134524,0.0,3,1.0,3,15,4,4,2,3
0693D0VZHX,inicialization,0.1339745962155613,0.0,5,0.0,4,31,5,4,4,5
3OQTHZGY0H,inicialization,0.26970325665977846,0.19047619047619047,5,0.0,3,8,5,7,3,5
CQDG2OG7BY,inicialization,0.1339745962155613,0.0,4,0.0,3,26,5,4,3,4
UQ64CMP0DP,inicialization,0.4083920216900384,0.380952380952381,2,0.0,4,14,2,6,1,2
UGCJFX4GFQ,inicialization,0.23623738417402662,0.0,2,0.0,3,33,2,2,1,2
31QC8C7OG6,inicialization,0.18350341907227397,0.0,4,1.0,3,10,4,9,3,4
