id,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
QESU2IO50R,crossover,0.3774492085112403,0.3166666666666667,83,0.0,13,15,83,4,13,83
3HYDUTRU0O,crossover,0.733124428744564,0.008333333333333331,138,0.0,14,28,462,7,14,138
QTD2S9AS0O,mutation,0.6658484441485393,0.03611111111111111,158,0.0,13,19,411,7,13,158
VN4F38PTMJ,crossover,0.8261626169758728,0.01111111111111111,14,1.0,4,16,495,9,4,14
46SX2IVUT2,mutation,0.8262828780646522,0.01111111111111111,15,1.0,4,15,427,8,4,15
BYQB8MQOMU,mutation,0.4492296645765631,0.34444444444444444,201,0.0,20,19,311,4,20,201
6GVITY8ETY,mutation,0.39583472958039767,0.22499999999999998,195,0.0,19,14,195,3,19,195
R2QHV9Q2N2,crossover,0.781178228672041,0.03611111111111111,73,0.0,10,30,315,8,10,73
821XVITDZ2,crossover,0.7810254734902069,0.03611111111111111,39,0.0,7,28,277,8,7,39
Z7SSOHHSH7,mutation,0.5345500261457528,0.16388888888888892,166,1.0,14,22,212,5,14,166
00VQFZP4IG,mutation,0.42339588164851305,0.38611111111111107,117,0.0,9,19,163,4,9,117
GY6ULJEI1I,crossover,0.7670954828549196,0.04444444444444444,74,1.0,9,11,74,7,9,74
QI3MU36ZQG,mutation,0.6656108674702137,0.03611111111111111,71,0.0,9,18,71,6,9,71
OCA30DRMCG,crossover,0.5584391700318364,0.06944444444444445,165,0.0,11,9,311,6,11,165
Q1ROBWHP79,crossover,0.5840183269047816,0.09722222222222224,138,0.0,10,9,199,6,10,138
DFQ1VG4H50,crossover,0.603083989049048,0.07222222222222222,141,1.0,17,35,202,6,17,141
FDXKRMJZZP,crossover,0.48769784255532755,0.17777777777777776,134,1.0,17,34,134,4,17,134
635UP9QAFC,crossover,0.7323737224198441,0.06944444444444443,95,0.0,10,19,306,8,10,95
2QZZN9UJSJ,crossover,0.7437673470968365,0.0,37,0.0,6,19,265,7,6,37
8NFUBXWB8P,crossover,0.7550083702621898,0.05277777777777777,170,1.0,14,22,309,9,14,170
FCOHO8AQ2I,crossover,0.7670954828549196,0.04444444444444444,104,1.0,9,20,284,8,9,104
LFVVUZT636,mutation,0.7672570538193151,0.04444444444444444,83,1.0,9,33,455,7,9,83
9NB98UGDP0,crossover,0.7553498221768847,0.008333333333333331,52,0.0,7,24,414,7,7,52
JP6DYPTJ97,mutation,0.7325612014464116,0.03888888888888888,173,1.0,13,19,346,8,13,173
OALB2U61TB,mutation,0.7435879752492454,0.03055555555555555,87,0.0,9,10,317,8,9,87
AWUADMPPK8,crossover,0.6499529812146637,0.022222222222222227,131,0.0,19,31,131,6,19,131
RDXMDX03B7,crossover,0.5703759754065922,0.14444444444444443,68,0.0,19,31,68,5,13,68
FWJDXHEKJ1,crossover,0.3857151535986857,0.28055555555555556,140,1.0,16,32,166,3,16,140
34KS0CE9NF,mutation,0.36060373303647086,0.2833333333333334,118,0.0,15,32,118,3,15,118
X06T8H1A4Z,crossover,0.4356016880380891,0.33055555555555555,123,0.0,11,29,287,4,11,123
Y9FZRGMVZM,crossover,0.4039208569094317,0.27499999999999997,69,0.0,7,14,188,3,7,69
60CKOWAMGS,crossover,0.5529733667136894,0.16944444444444445,168,0.0,16,24,251,5,16,168
OR8FHIECF5,crossover,0.5476290256519525,0.17777777777777776,172,0.0,15,21,236,5,15,172
IP2LJI4H18,crossover,0.3754449859962363,0.33611111111111114,99,1.0,9,25,240,3,9,99
3SXHYJ07I1,crossover,0.36184697019744083,0.32777777777777783,101,0.0,8,13,232,3,8,101
1SEAWZSJ07,crossover,0.648202109889935,0.05277777777777777,140,0.0,13,25,191,6,13,140
9HAD5EXRUY,crossover,0.6492015377335205,0.05277777777777777,131,0.0,12,23,186,6,12,131
JDFBRGXMYJ,crossover,0.7022550796108272,0.002777777777777768,186,0.0,18,23,193,7,18,186
D2BMQWN5N2,crossover,0.6929256265228325,0.011111111111111113,169,0.0,15,21,187,7,15,169
XYAJVVLLOK,crossover,0.6401788439129571,0.1222222222222222,136,1.0,13,28,277,7,13,136
80A7ZQFLYV,crossover,0.5263957976972,0.20277777777777778,73,0.0,8,25,245,5,8,73
1CDWGW39XJ,crossover,0.6105036341404919,0.06388888888888888,128,1.0,13,32,366,6,13,128
T3782J0F1T,crossover,0.6581444694585803,0.04444444444444444,113,0.0,12,31,277,6,12,113
MD6JJSNB9X,crossover,0.7669340238981655,0.04444444444444444,85,1.0,8,13,369,8,8,85
6FPNTIX7U7,crossover,0.691621695504717,0.011111111111111113,40,0.0,6,12,325,7,6,40
6G34Y8T3VZ,mutation,0.7434087287927157,0.0611111111111111,128,1.0,12,20,128,7,12,128
5FLWFTKWDR,crossover,0.674529518262011,0.027777777777777776,76,0.0,11,16,76,7,11,76
O7M1L43JP7,crossover,0.5584391700318364,0.13055555555555556,138,1.0,16,33,224,5,16,138
CRRC7B5ZZ0,mutation,0.45458307339756,0.2666666666666667,127,0.0,14,32,127,4,14,127
NE83MZBQLU,crossover,0.6933615023613885,0.011111111111111113,180,0.0,17,22,191,7,17,180
9MU1LI9NYL,crossover,0.6933615023613885,0.011111111111111113,174,0.0,16,22,189,7,16,174
US6GRGYZAJ,crossover,0.781178228672041,0.03611111111111111,137,0.0,17,34,409,8,17,137
53AEQH3KGZ,mutation,0.7680665969544795,0.016666666666666663,121,0.0,14,33,257,7,14,121
Q268TERV5K,crossover,0.6323533566908734,0.03888888888888889,149,1.0,14,28,212,6,14,149
Z22WXRZW0P,crossover,0.5203623799116976,0.21111111111111108,93,0.0,9,25,187,5,9,93
D3TJTNXC9B,crossover,0.38513706703665374,0.28888888888888886,125,1.0,12,28,226,3,12,125
AFBBW2HW61,crossover,0.33616484276029723,0.21666666666666667,129,0.0,11,25,207,2,11,129
