id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
M8W3D6NOS5,inicialization,0.4134447339536076,0.22115384615384615,0.0,,2,,,15,125
NV2EQMKF28,inicialization,0.41087774021857626,0.12927350427350429,1.0,15,2,125,,15,114
XM4UPZ1NE1,inicialization,0.30077971382319213,0.2702991452991453,0.0,6,27,79,4,6,24
RZYO1EZ0A3,inicialization,0.2629571031621798,0.15170940170940173,0.0,4,32,48,4,4,12
QJC1LREJZX,inicialization,0.4134447339536076,0.07158119658119658,1.0,10,8,106,5,10,70
L7AFECW82H,inicialization,0.39657933981827553,0.18162393162393162,1.0,10,25,59,6,10,35
LM92IFJTVY,inicialization,0.44653580098931434,0.14423076923076927,0.0,10,28,45,1,10,34
RUFRJQ3N1H,inicialization,0.3182629877618204,0.3504273504273504,1.0,13,38,32,3,10,29
LAAZ3CVPR4,inicialization,0.5092526555459236,0.2329059829059829,1.0,10,22,43,8,10,42
SWXZZDO7EN,inicialization,0.31892734102558873,0.1527777777777778,0.0,4,15,48,5,4,14
MX69NI389U,inicialization,0.2203741229128343,0.2532051282051282,0.0,7,12,111,3,7,37
TCPDV22DR9,inicialization,0.7124378023728611,0.11645299145299146,1.0,14,31,59,9,14,37
DA02RJ5DCR,inicialization,0.29755004173535415,0.17841880341880342,1.0,4,5,79,5,4,14
7EJ40GQAPW,inicialization,0.24535541059709787,0.219017094017094,0.0,13,6,31,3,10,31
KLM2ICM76O,inicialization,0.32448902696223214,0.15384615384615383,0.0,9,2,113,5,9,86
I4IHHC2FRZ,inicialization,0.35523372052102375,0.10897435897435898,1.0,11,6,86,1,11,64
GTSPKY9YJV,inicialization,0.2717102807292878,0.15918803418803418,1.0,6,17,32,3,6,24
0JK525MRBM,inicialization,1.0,1.0,0.0,3,14,34,7,3,8
YIQX3QD3TF,inicialization,0.6223778861851309,0.09935897435897437,0.0,3,20,121,8,3,8
YCWDOAYI5Z,inicialization,0.44981723820653985,0.20512820512820512,1.0,14,9,87,7,14,81
2RXNSZIK75,inicialization,0.41861272249874615,0.12713675213675213,0.0,6,35,67,1,6,15
GA5S3XSIX4,inicialization,0.3233730325237987,0.09829059829059827,0.0,5,19,10,2,5,10
4G8D3RWYKE,inicialization,0.2920934144845052,0.19764957264957267,1.0,6,31,125,5,6,20
00LDXGAKQK,inicialization,0.533691314091411,0.16559829059829062,1.0,10,13,72,8,10,58
P9FMID9M4H,inicialization,0.33167551833249664,0.13034188034188038,1.0,9,39,25,2,9,23
514DKWEQLA,inicialization,0.5129564620315066,0.06517094017094016,0.0,7,8,30,8,7,30
K0PMUJVWYU,inicialization,0.335297899922838,0.1388888888888889,0.0,7,38,66,4,7,24
KJAYG71LQN,inicialization,0.2879489135880209,0.2222222222222222,0.0,14,10,15,4,7,15
ZATLI6ZDWF,inicialization,1.0,1.0,1.0,5,36,108,8,5,16
ALDYX6M74J,inicialization,0.5204498864006535,0.030982905982905984,0.0,7,2,59,8,7,42
