id,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
XXOTUIBVFU,mutation,0.42825520596965194,0.09002268798617113,315,0.0,20,29,364,7,20,315
8TZPAATL6H,crossover,0.398577622463522,0.06744273984442523,276,0.0,15,19,276,6,15,276
9X95NQK15G,crossover,0.37109021364373185,0.06971153846153844,475,1.0,15,14,956,5,15,475
7QCL9JN7B6,crossover,0.3862911226609541,0.1379375540190147,402,0.0,12,12,928,5,12,402
LQ6FM9MJZ7,crossover,0.42006232755869644,0.0661192739844425,455,1.0,19,20,1181,2,19,455
KNVV4XOP36,crossover,0.42786351622872476,0.04686149524632677,460,0.0,18,18,852,2,18,460
KVQZF35AVW,mutation,0.40333367793697483,0.13812662057044084,49,0.0,6,17,577,6,6,49
7PIHJI73AB,crossover,0.3192195473378757,0.17059204840103714,56,0.0,6,16,482,5,6,56
K4D171RVNT,mutation,0.3345788241000547,0.18115276577355233,95,0.0,7,13,983,5,7,95
G1JD21JXOD,crossover,0.3192195473378757,0.17059204840103714,58,0.0,6,9,717,5,6,58
J82QSSDUG1,crossover,0.40493803783515836,0.07424913569576497,693,0.0,20,7,693,1,20,693
ID9NNRLUI8,mutation,0.4187481407444966,0.09337186689714783,421,0.0,18,6,421,1,18,421
5OBTXZ1WW0,mutation,0.40072603811326735,0.1259453327571305,748,0.0,14,5,748,5,14,748
WDX7QWE2ZL,crossover,0.39788651750014514,0.09580272255834055,387,0.0,14,4,387,3,14,387
FSL9OH0CR1,crossover,0.43346576652987645,0.08535004321521167,395,1.0,16,22,1164,2,16,395
NL2VWEZGK5,mutation,0.503093773133001,0.037921348314606695,364,0.0,14,22,1106,1,14,364
ETPOTL1MQZ,crossover,0.3752337709785153,0.10876728608470188,298,1.0,18,32,945,4,18,298
FM6JRR994M,crossover,0.36041345650463086,0.1264044943820225,273,1.0,13,27,652,4,13,273
14Q88V1WUY,crossover,0.4522810871387689,0.12138072601555744,133,0.0,14,34,133,7,14,133
BL3MKJ74IZ,crossover,0.34517646077050235,0.24289649956784792,90,0.0,12,33,90,5,12,90
DE7WRXHW0O,crossover,0.37597976077175477,0.06328327571305092,455,1.0,23,19,1151,,23,455
5TTCRSHCJ1,crossover,0.3833921714758163,0.09780142610198789,565,1.0,17,13,1119,5,17,565
O3U1ILQZ98,crossover,0.3899123688670102,0.042323898012100236,587,1.0,21,14,1195,4,21,587
JDG4AIP331,crossover,0.4139597149994898,0.051074978392394166,735,1.0,17,8,1182,3,17,735
ER1FXRL3W4,crossover,0.40041891451234624,0.024443604148660314,432,0.0,19,20,822,3,19,432
D166W48IBK,crossover,0.4077888965662696,0.042134831460674205,566,0.0,18,13,600,2,18,566
DYNTEFK3BZ,crossover,0.38664903051145794,0.07260155574762317,345,1.0,14,21,1006,3,14,345
MYUVZ1SGGN,mutation,0.39956866993372153,0.09264261019878994,340,1.0,13,18,843,3,13,340
EJYX8RT7GG,crossover,0.3978552062029185,0.07821953327571307,323,1.0,13,20,889,3,13,323
LX7Q0QT9H7,crossover,0.4105519377686836,0.04445764909248062,337,0.0,12,19,880,3,12,337
BX0102P4SZ,crossover,0.3697708031712994,0.1138180639585134,423,1.0,19,21,607,5,19,423
SNLB7A3IZK,crossover,0.3617378495259833,0.16032843560933452,320,0.0,13,20,425,5,13,320
N2XKLHYU1H,crossover,0.378365807804934,0.10344641313742442,287,1.0,21,34,978,6,19,287
YWVPC3D287,crossover,0.37597976077175477,0.11117113223854802,291,1.0,17,32,515,4,17,291
5KV11YKPHM,crossover,0.36710693964140473,0.08073141745894563,390,1.0,24,24,570,4,22,390
PO74UDWA8Y,crossover,0.3612619323591926,0.13288677614520317,362,0.0,24,23,410,4,18,362
C2AWJ9IE6Q,crossover,0.3881697556886924,0.09067091616248918,426,1.0,14,14,1231,6,14,426
BPO4ZAT25L,mutation,0.4031589853244778,0.11632994814174591,465,0.0,13,12,1084,6,13,465
PXFCD9OUAH,mutation,0.3670333468135991,0.06709161624891957,415,1.0,17,20,1133,4,17,415
S3GKAVDY1U,crossover,0.3970692734466361,0.03246542783059636,371,0.0,13,19,934,3,13,371
VR3OFWJGI4,crossover,0.3933687359432133,0.01985198789974063,538,1.0,17,14,752,4,17,538
YLKS2E75KD,crossover,0.41222127994908375,0.07100799481417452,676,1.0,16,9,685,2,16,676
V2D48G6D31,mutation,0.3493765741358721,0.14163785652549699,273,0.0,11,19,854,4,11,273
