id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
RO329DGO65,inicialization,0.37220227856765886,0.4652173913043478,0.0,,2,,,15,120
T7FP26R1KT,inicialization,0.39498947459646894,0.3739130434782608,1.0,15,2,120,,15,117
97UE7LAVMI,inicialization,0.583700371303852,0.08043478260869565,1.0,5,17,80,8,5,22
J1XJLCBZY4,inicialization,0.3828674772272397,0.24347826086956523,0.0,13,12,28,5,9,28
HDR3W4BD0E,inicialization,0.3885554559338974,0.10869565217391303,0.0,12,31,45,4,12,33
Q5B560TM8H,inicialization,0.6997555154143393,0.006521739130434787,0.0,4,11,33,7,4,14
JWKRJQ1362,inicialization,0.39510498973363706,0.15434782608695652,0.0,13,6,32,8,10,32
1EDECMI52G,inicialization,0.30410005779584337,0.25869565217391305,0.0,5,35,75,2,5,18
HJKHKH4YKV,inicialization,0.33396256109662703,0.3652173913043479,1.0,3,12,18,2,3,8
DJ0N8BOROR,inicialization,0.331658288816972,0.5239130434782608,1.0,6,36,8,4,4,8
OO5EDIXPYH,inicialization,0.3196375364844073,0.33260869565217394,0.0,4,38,84,3,4,12
76KGV34BDU,inicialization,0.3041000577958435,0.332608695652174,1.0,14,2,116,4,14,115
68UCTABKPM,inicialization,0.37622236935366227,0.12826086956521737,0.0,10,22,43,7,10,43
G3DB0DP6TT,inicialization,0.4522136536915541,0.1608695652173913,0.0,13,17,102,8,12,63
DWYRYKELMF,inicialization,0.3764464676654199,0.22608695652173916,1.0,10,3,67,6,10,67
TSV1U17T0Y,inicialization,0.41902994444572816,0.17826086956521736,1.0,13,30,84,6,10,33
UF1REEIBBR,inicialization,0.3789168857545404,0.11956521739130435,0.0,10,24,59,7,10,43
R7QHSXLRWH,inicialization,0.5439666053641896,0.08043478260869565,1.0,14,17,12,6,5,12
8RMNHAFW2C,inicialization,0.3665508215845409,0.22826086956521746,1.0,13,9,115,3,13,82
8OUEZMY399,inicialization,0.4065345352409837,0.16304347826086957,0.0,14,19,26,8,11,26
3WIBP6HKW1,inicialization,0.28127763019109275,0.4369565217391304,1.0,5,8,94,4,5,24
YO9XB0J14Q,inicialization,0.4032466127693879,0.15869565217391302,1.0,5,25,99,1,5,18
SIMXPCWZCR,inicialization,0.3481735599896427,0.532608695652174,0.0,7,15,107,4,7,42
EC5R36KOOL,inicialization,0.2796266206124365,0.33478260869565213,0.0,10,22,42,2,10,40
