id,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
LT58VQ71NX,inicialization,0.0871290708247231,0.0,12,0.0,,2,,,5,12
X4SUIAXFRY,inicialization,0.0425728922436619,0.0,10,1.0,5,2,12,,5,10
79S821DPLK,inicialization,0.05131670194948623,0.25,6,0.0,5,11,6,8,3,6
Y9U76CWNB9,inicialization,0.1339745962155613,0.0,4,0.0,3,34,9,3,3,4
LAJVNLXVFO,inicialization,0.16333997346592444,0.08333333333333337,3,0.0,3,24,3,8,2,3
DVZ1Y9DDOZ,inicialization,0.05131670194948623,0.25,5,0.0,3,19,10,6,3,5
XVHOGVI9E0,inicialization,0.23623738417402662,0.08333333333333337,3,1.0,4,38,5,8,2,3
MZ53NNNLAV,inicialization,0.1339745962155613,0.0,5,0.0,4,14,8,5,3,5
NTBEVG9ZCA,inicialization,0.05131670194948623,0.25,6,0.0,4,12,8,8,3,6
B5UJQOSAMZ,inicialization,0.1339745962155613,0.0,3,0.0,4,6,3,3,2,3
MRDLXCUGNF,inicialization,0.0,0.0,5,1.0,4,6,5,2,4,5
4L4JV9XFPN,inicialization,0.2928932188134524,0.0,5,0.0,4,19,6,9,4,5
IIE4GODAZ5,inicialization,0.1339745962155613,0.25,3,0.0,5,33,6,6,2,3
VGZHO1VC08,inicialization,0.23623738417402662,0.08333333333333337,3,0.0,4,34,7,7,2,3
RPZIHN03OL,inicialization,0.0,0.0,6,1.0,5,11,6,1,4,6
090DUCNYJJ,inicialization,0.1339745962155613,0.25,3,0.0,3,33,9,6,2,3
JWCT2DG74I,inicialization,0.23623738417402662,0.08333333333333337,3,1.0,4,28,3,8,2,3
XYL74BLWNX,inicialization,0.05131670194948623,0.25,5,1.0,5,18,6,6,3,5
Y44142K2T9,inicialization,0.0425728922436619,0.0,5,1.0,4,13,5,3,4,5
CO2PG4F5DJ,inicialization,0.18350341907227397,0.0,5,0.0,5,13,5,4,3,5
2PX8CKQST8,inicialization,0.05131670194948623,0.25,5,0.0,3,24,9,6,3,5
PVSYXFSWR6,inicialization,0.05131670194948623,0.25,8,0.0,4,3,11,6,4,8
Y5WZMQYAIG,inicialization,0.1339745962155613,0.0,5,0.0,3,22,5,2,3,5
VLXRBTKRYN,inicialization,0.16333997346592444,0.08333333333333337,5,0.0,4,17,10,8,3,5
VIH7Y77UAJ,inicialization,0.05131670194948623,0.25,6,0.0,4,3,6,6,3,6
KGJ5OPWHLD,inicialization,0.16333997346592444,0.33333333333333337,3,1.0,5,39,5,5,2,3
RIV7MUN6D2,inicialization,0.1339745962155613,0.0,4,1.0,4,35,12,1,3,4
OYNEBU66XY,inicialization,0.05131670194948623,0.25,6,1.0,4,8,10,6,3,6
PEP5NYOKE5,inicialization,0.3545027756320972,0.0,2,1.0,3,11,2,3,1,2
8UV7NBWAPD,inicialization,0.3545027756320972,0.0,2,1.0,5,17,2,4,1,2
MA0G8Q5OC9,inicialization,0.23623738417402662,0.08333333333333337,3,0.0,4,31,3,7,2,3
CVBY27IM55,inicialization,0.3545027756320972,0.0,3,1.0,5,27,5,3,2,3
NKBFY0VG5U,inicialization,0.0425728922436619,0.0,5,0.0,4,4,5,4,4,5
L58EO49CP7,inicialization,0.1339745962155613,0.0,4,0.0,4,20,4,5,3,4
BQGVULX71Z,inicialization,0.16333997346592444,0.08333333333333337,5,0.0,4,16,7,7,3,5
WO3IZ8487W,inicialization,0.0425728922436619,0.0,6,1.0,4,13,8,3,4,6
ACOYU03B18,inicialization,0.1339745962155613,0.0,5,0.0,4,24,9,2,4,5
JP2L53GUD6,inicialization,0.1339745962155613,0.0,5,0.0,3,11,11,3,3,5
8RCIAYUCFP,inicialization,0.18350341907227397,0.0,5,0.0,5,21,5,4,3,5
VYMNPCYV3Q,inicialization,1.0,1.0,3,1.0,4,38,12,9,2,3
8NVHXLMAV6,inicialization,0.3545027756320972,0.0,2,1.0,4,36,2,3,1,2
