id,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
LMH3DF6RQW,inicialization,0.26970265091290224,0.06468830712331697,2657,0.0,,2,,,39,2657
UU19FOR19H,inicialization,0.27557102536787725,0.057554708980595004,2587,1.0,39,2,2657,,39,2587
RMDJ13Y3SR,inicialization,0.22202723295022508,0.058528640677556365,525,0.0,19,37,525,6,19,525
LP8ZVA7LK2,inicialization,0.2705892911047032,0.11096708222011975,16,1.0,4,34,2383,9,4,16
L4YL4TPSOE,inicialization,0.4102267252473396,0.004968996739204368,89,1.0,8,33,2223,3,8,89
DOU8YHC2PK,inicialization,0.23698073376833195,0.05076184799718797,959,1.0,20,16,2210,6,20,959
DXTCQT2J26,inicialization,0.28974895634872233,0.022950610131390548,479,1.0,13,14,993,4,13,479
GRC4TQAWLY,inicialization,0.24637984227536391,0.05167048042202782,662,1.0,17,22,919,5,17,662
ZP44VEMH4C,inicialization,0.2225742328384469,0.09158431316975169,712,1.0,25,36,2177,7,25,712
K9VRTJXNKD,inicialization,0.19158354518381204,0.09091464829395235,44,1.0,6,19,2173,8,6,44
HEEV3836VL,inicialization,0.22524892462799206,0.08985318778542384,980,1.0,33,25,1537,8,33,980
1K21QD540O,inicialization,0.25900058775297663,0.046988731012847285,1182,0.0,35,17,2494,5,34,1182
OX0AV19H3Q,inicialization,0.29216784585416056,0.021840869841878496,15,0.0,4,5,2416,6,4,15
KDM0X0JXSV,inicialization,0.49374280764816014,3.785968436831322e-05,89,1.0,8,18,1619,2,8,89
X5D7VNB6LE,inicialization,0.23183010475503274,0.08377966080501498,1684,0.0,36,9,1684,9,36,1684
6OL0K8ARIS,inicialization,0.30735839497676387,0.02398984110047342,1068,0.0,23,18,1610,3,23,1068
WHCOPV44DS,inicialization,0.2135551064604002,0.0895138399723242,16,1.0,4,24,1911,7,4,16
Z03I9NC814,inicialization,0.23643644889039284,0.09045894273531696,1413,1.0,29,12,2643,8,29,1413
FRLH176ODJ,inicialization,0.22274505205740214,0.08632424839843111,916,1.0,39,28,1706,8,36,916
75Q3RN1VME,inicialization,0.44705222448309934,0.0027443061118729295,54,0.0,7,24,2612,3,7,54
9GQM8DLO6B,inicialization,0.2897536276893692,0.049781316905703754,1111,1.0,34,20,2280,4,34,1111
09DZAW9PSI,inicialization,0.30342741222545155,0.023323996926766122,903,0.0,39,29,1107,3,35,903
ILUBRRVEJ1,inicialization,0.22354239566375922,0.10301064378135583,1283,0.0,26,9,1283,8,26,1283
90GJ8PJXDS,inicialization,0.2546579851875689,0.038122618139582065,746,0.0,32,35,1886,5,30,746
UJKL10RSBY,inicialization,0.217422938852602,0.08235141289563364,800,1.0,34,34,2407,8,34,800
0OQMO0XP7D,inicialization,0.19158354518381204,0.09091464829395235,43,1.0,6,27,113,8,6,43
IBXHW0SOB3,inicialization,0.2188834614382824,0.108125869209726,1399,1.0,22,3,2330,9,22,1399
KLQW8ULN6H,inicialization,0.20916792184129485,0.10984657449743873,633,0.0,19,32,815,7,19,633
OYBBDJ37JW,inicialization,0.4176541261206398,0.0069717393086334845,278,1.0,12,37,2539,2,12,278
RS4NY5DHNC,inicialization,0.18794773554165578,0.0727972263092157,57,0.0,18,38,57,7,14,57
GS5IBTXXQ3,inicialization,0.21035299157915588,0.10107841053235578,959,0.0,28,13,959,8,28,959
M5J7DT87BG,inicialization,0.2842455221335213,0.027031814638985407,715,0.0,25,38,1004,4,25,715
BENOJ8L7YY,inicialization,0.24925278225389802,0.03344086873040153,861,0.0,21,23,1451,5,21,861
2V9PH7VL07,inicialization,0.2915804462364733,0.01854429860940343,54,0.0,7,34,2432,4,7,54
6X2KIT75XD,inicialization,0.2858910687502284,0.029965419172699903,731,0.0,29,38,1980,4,29,731
GRPLSGRPGH,inicialization,0.19852571034298516,0.11181666743080709,527,1.0,14,13,553,7,14,527
53W5HK1WQQ,inicialization,0.23434795575162526,0.022902330350407007,358,0.0,13,21,358,5,13,358
2JXYRZ63PT,inicialization,0.4191478740364021,0.008151988918574604,683,1.0,18,17,683,1,18,683
19EB72KWF8,inicialization,0.28901167582521614,0.016455416574622572,224,1.0,32,13,224,4,21,224
4NBG4XHEFR,inicialization,0.28679591233590385,0.02350808530030013,475,1.0,14,23,883,4,14,475
GKUVQCA01O,inicialization,0.2095094602196329,0.09685896607633349,27,1.0,5,17,1006,8,5,27
ZPEUD090CW,inicialization,0.31603236487127184,0.03579997860406825,761,1.0,24,28,761,3,24,761
2SD8ZC95AE,inicialization,0.2516452523112769,0.04345458157754711,1913,0.0,21,2,2187,5,21,1913
F2FTFACYPG,inicialization,0.22255549233027527,0.10262162684105736,1296,0.0,27,13,1855,9,27,1296
3M3BSMD95S,inicialization,0.5004352557952253,0.00048175580017306707,57,1.0,7,24,2391,2,7,57
GMK265X1R7,inicialization,0.20188188469650947,0.09971546189509606,427,1.0,37,39,427,8,23,427
YNIYTQAFXO,inicialization,0.3027701101020639,0.015978870822756952,90,1.0,8,25,704,4,8,90
G6U2FM2KWL,inicialization,0.28046124353787927,0.019535249797502874,57,1.0,7,38,2034,5,7,57
BO6ZBYS8TZ,inicialization,0.21204953705538165,0.09200354839023406,16,0.0,4,12,2343,7,4,16
HI4G3VGVR8,inicialization,0.2697105519985791,0.024731404642917232,473,0.0,31,10,473,4,29,473
KW8RHR9EK9,mutation,0.22579372897232197,0.09087539926336863,912,1.0,27,26,1068,7,27,912
825L9GV6BM,mutation,0.24008756434862866,0.06427185059526541,996,0.0,25,19,996,6,25,996
0VZ07G5VDC,crossover,0.28861817717076477,0.06522355275278113,1327,1.0,39,15,2657,4,37,1327
ICUCBHLENH,crossover,0.24551553353395927,0.033521798147445714,634,0.0,14,10,883,,14,634
15UJQUTXQ7,mutation,0.21281827109497076,0.10870557391808133,763,1.0,21,22,1572,8,21,763
SO24QUQYWH,crossover,0.2074304949223016,0.11420460623844242,728,0.0,19,19,815,8,19,728
CBD02G4XCC,crossover,0.3027701101020639,0.015978870822756952,90,1.0,8,28,1889,4,8,90
T5WWP9LT4P,crossover,0.4900557224576102,0.0010013712847145584,60,1.0,7,28,1764,3,7,60
BNYGT3TX2N,crossover,0.2744373910024184,0.03274237492063359,982,0.0,21,18,1730,4,21,982
