error,dem_fp,criterion,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,min_impurity_decrease,class_weight
0.32446808510638303,0.0021739130434782483,0.0,15,2,5,1000,1e-07,
0.3191489361702128,0.2456521739130435,1.0,15,2,5,1000,1e-07,
0.35106382978723405,0.0,0.8991445133222273,10,361,113,481,0.8260572528789061,0.424246487241161
0.35106382978723405,0.0,0.40162053673315157,14,86,220,443,0.7938623722646311,0.5531320928367005
0.35106382978723405,0.0,0.4743724861795736,13,157,133,600,0.8347521214697847,0.3343462902911103
0.35106382978723405,0.0,0.8471365712067809,14,82,86,847,0.594929715403104,
0.35106382978723405,0.0,0.6272359149727929,14,77,52,753,0.23982250606668068,0.3343462902911103
0.35106382978723405,0.0,0.8601682037305701,14,87,87,854,0.5746131390571206,0.3343462902911103
0.35106382978723405,0.0,0.6142042824490036,14,72,51,746,0.26013908241266404,
0.35106382978723405,0.0,0.6902971893155484,12,268,123,567,0.8320320589913349,0.39769738810152455
0.35106382978723405,0.0,0.6832198101862524,11,250,123,514,0.8287773153573558,0.3608953894307467
0.32978723404255317,0.2173913043478261,0.6385924059493027,15,2,5,1000,1e-07,
0.3085106382978723,0.019565217391304346,0.36140759405069733,15,2,5,1000,1e-07,
0.35106382978723405,0.0,0.950916581801645,13,238,60,783,0.4878376615012709,0.424246487241161
0.35106382978723405,0.0,0.9482279315205824,12,125,58,698,0.33821969137763513,
0.35106382978723405,0.0,0.8418541041579434,11,324,120,500,0.827652889071431,0.40329652254067516
0.35106382978723405,0.0,0.7405102193505363,10,287,116,495,0.8271816791648308,0.38184535413123255
0.35106382978723405,0.0,0.6014902601409013,13,164,91,789,0.46672385825467366,
0.35106382978723405,0.0,0.4431371440960486,13,88,37,725,0.36205355710268206,0.3608953894307467
0.35106382978723405,0.0,0.4132217452388789,13,168,79,769,0.5059390809176709,0.38184535413123255
0.35106382978723405,0.0,0.3272884741116574,12,121,42,726,0.3212426982471598,
0.35106382978723405,0.0,0.7233154794007374,11,273,121,506,0.828308696292314,0.3761169137397337
0.35106382978723405,0.0,0.7004145501360514,10,264,118,503,0.8276502982298725,0.36662382982224556
0.35106382978723405,0.0,0.4806609998688235,13,198,64,810,0.5543399335328126,0.36662382982224556
0.35106382978723405,0.0,0.2197535502672279,12,68,59,693,0.2733104646970598,
0.35106382978723405,0.0,0.5952490508750035,13,155,65,798,0.528083357929036,
0.35106382978723405,0.0,0.5066687625262303,12,134,56,697,0.29909842123579466,0.38184535413123255
0.35106382978723405,0.0,0.5457560234358967,13,185,73,764,0.5169935679621362,
0.35106382978723405,0.0,0.5160661207508519,12,81,50,739,0.31065683026773616,0.36662382982224556
0.35106382978723405,0.0,0.6283967374579768,11,193,98,666,0.5713330456247461,0.36662382982224556
0.35106382978723405,0.0,0.5880839334289264,11,152,70,576,0.5669740828728627,0.36662382982224556
0.35106382978723405,0.0,0.62475905658109,11,177,94,666,0.6710715290767635,0.36662382982224556
0.35106382978723405,0.0,0.5917216143058132,11,168,74,576,0.4672355994208453,0.36662382982224556
0.35106382978723405,0.0,0.4537616802153149,14,45,35,907,0.17972636878333098,
0.35106382978723405,0.0,0.42371203458623435,13,38,20,832,0.11471080746698248,0.36662382982224556
0.35106382978723405,0.0,0.3625916340614798,14,60,34,886,0.20635576873644393,0.36662382982224556
0.35106382978723405,0.0,0.15347448668937208,13,23,21,853,0.10430116153129224,
0.35106382978723405,0.0,0.485427807222129,13,55,41,788,0.2204044661713842,0.36662382982224556
0.35106382978723405,0.0,0.4543503481149573,12,52,29,783,0.20496317156333443,0.36662382982224556
0.35106382978723405,0.0,0.4746579112987205,13,61,37,806,0.24799751416388008,0.36662382982224556
0.35106382978723405,0.0,0.4651202440383658,12,58,33,765,0.17737012357083856,0.36662382982224556
