id,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
ZIPXA2YIK3,inicialization,0.39697731084447285,0.1871345029239766,124,0.0,,2,,,17,124
FM3QAWM349,inicialization,0.40657510159427346,0.05409356725146203,109,1.0,17,2,124,,17,109
8NHJ5MRHX7,inicialization,0.5600285847848463,0.09210526315789475,11,0.0,4,35,50,7,4,11
O7LPO3660U,inicialization,1.0,1.0,5,1.0,15,26,5,7,3,5
A5XE08LZFL,inicialization,0.46752746613888807,0.07017543859649122,23,0.0,6,6,96,8,6,23
IFPPKXIKEJ,inicialization,0.36603322200758337,0.10964912280701761,31,1.0,12,27,121,5,12,31
FT4N4IP78M,inicialization,0.39811187946784443,0.2704678362573099,67,0.0,12,8,67,5,12,67
QWPJ7HA4YZ,inicialization,0.5207661617014769,0.14766081871345033,43,0.0,11,22,45,8,11,43
KRQOXYUB29,inicialization,0.5675500179061317,0.011695906432748537,48,1.0,16,22,121,9,13,48
F10R7OZWV6,inicialization,0.3844129887489075,0.0643274853801169,33,0.0,12,29,33,2,11,33
ST45CKOV5A,inicialization,0.39527944913843627,0.2704678362573099,25,0.0,11,15,25,5,8,25
2DBWGR9E7L,inicialization,0.3890943267354655,0.23391812865497075,31,1.0,7,21,49,3,7,31
2ODWDMQ9X7,inicialization,0.39550555516647923,0.21491228070175433,28,0.0,14,36,46,5,10,28
IY890MSD3Z,inicialization,0.4920993310281656,0.010233918128654929,25,1.0,8,37,72,7,8,25
YYUGZ6HJ1S,inicialization,0.33078636449026755,0.042397660818713434,34,0.0,9,25,46,3,9,34
LPDMCDLCPF,inicialization,0.4380485130509836,0.19298245614035087,74,0.0,16,9,74,7,14,74
YRKCRRMZ8Z,inicialization,0.400159510836263,0.05409356725146203,78,1.0,12,4,78,5,12,78
TR7AZV2Y0O,inicialization,0.342845255538585,0.20321637426900585,18,1.0,14,17,18,4,7,18
JF8HIOIGIY,inicialization,0.3844129887489075,0.0643274853801169,31,0.0,14,35,99,2,11,31
UVZFWC983A,inicialization,1.0,1.0,2,1.0,13,27,2,7,1,2
01BJMIAWGR,inicialization,0.4606401100294064,0.03508771929824561,33,0.0,7,20,37,7,7,33
YDRUGFDCIW,inicialization,0.4380485130509836,0.1286549707602339,13,1.0,4,36,65,5,4,13
SNMJH7HCUC,inicialization,0.5039458499781195,0.09795321637426901,73,1.0,12,9,89,7,12,73
S94F9VLP1Q,inicialization,0.4563483886674823,0.01900584795321647,34,1.0,6,3,35,1,6,34
CPZJODWKNO,inicialization,0.5823445316704642,0.016081871345029225,28,1.0,7,17,28,9,7,28
RR13L1KKX6,inicialization,0.46675781138805905,0.007309941520467822,31,0.0,9,31,61,6,9,31
GU86RMVN6P,inicialization,0.6888932287731226,0.005847953216374269,38,1.0,13,27,103,9,13,38
YFLIN64DIP,inicialization,0.34817150815945486,0.11988304093567248,12,1.0,4,37,58,3,4,12
XN3M2XJN9F,inicialization,0.479734018285528,0.017543859649122806,38,1.0,9,23,117,8,9,38
SC18USS43Y,inicialization,0.35227407634057817,0.20906432748538006,30,1.0,13,38,93,3,11,30
