id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
NDK3MIY718,68,0,crossover,0.3684131613315421,0.008194554586307135,8,1.0,8,19,354,1,8,89
EM7LY0UAGG,68,0,mutation,0.3478120528350652,0.06000528680941042,5,1.0,5,5,471,1,5,29
H8XBGNFNZC,68,0,crossover,0.3313404209135937,0.11630980703145655,5,0.0,5,6,334,2,5,30
G4PMM0Z3F4,68,0,crossover,0.3313404209135937,0.11630980703145655,5,0.0,5,7,347,2,5,30
4KURJZ7GNC,68,0,crossover,0.46131839193873236,0.011895321173671647,7,0.0,7,13,337,4,7,51
NWMI46K918,68,0,crossover,0.4565511652596427,0.03251387787470261,6,1.0,6,7,377,3,6,51
GPO8D354O0,68,0,crossover,0.34856759723024666,0.04969600845889499,4,0.0,4,14,263,2,4,16
X5H23G3R5E,68,0,crossover,0.3382894736209334,0.09621993127147765,7,0.0,7,6,343,1,7,72
44KOEZLZ2E,69,0,crossover,0.34528249115881204,0.29553264604810997,3,0.0,3,8,244,2,3,8
OW6GCHM5XX,69,0,mutation,0.7746381699597955,0.0002643404705260366,8,0.0,8,10,309,7,8,64
158JPSUDDO,69,0,crossover,0.8290709899449782,0.005286809410520753,5,0.0,5,17,196,6,5,20
GYJAII5D48,69,0,crossover,0.32033957750592734,0.070578905630452,8,0.0,8,19,388,1,8,81
YKDLUKAI0Z,69,0,crossover,0.3661398035570206,0.09119746233148296,3,0.0,3,6,268,1,3,8
CSC3KEQBZ5,69,0,inicialization,0.5562978624899144,0.0010573618821041464,14,0.0,14,17,429,6,14,206
GPI1MGNDEO,69,0,mutation,0.5115529590832708,0.001321702352630183,13,0.0,13,15,272,5,13,191
XWZHF0IFTK,69,0,crossover,0.3224088700190003,0.16256938937351306,5,1.0,5,6,330,2,5,31
2RF3TIU4O3,69,0,crossover,0.36810443011981653,0.008723235527359208,9,0.0,9,19,390,1,9,102
2JZ3EW3UL6,69,0,mutation,0.3225312133127023,0.12212529738302935,7,0.0,7,23,332,1,7,59
SI5IZBCXT1,69,0,crossover,0.3848628891390383,0.0018503832936823672,9,0.0,9,6,421,1,9,133
Q57VJUI1TE,69,0,crossover,0.8290709899449782,0.005286809410520753,5,0.0,5,17,197,6,5,20
BGZHH8BUUE,69,0,crossover,0.6821481448203254,0.0005286809410520732,8,0.0,8,13,339,6,8,70
CGN9MJG1J7,69,0,crossover,0.44244154494758403,0.04282315622521804,7,0.0,7,7,353,4,7,60
JJ79I2JLF8,69,0,crossover,0.32033957750592734,0.070578905630452,8,0.0,8,19,386,1,8,81
LFCRCNS402,69,0,mutation,0.6117661243447805,0.0007930214115781098,7,0.0,7,8,358,6,7,53
M18NWMNK51,69,0,crossover,0.3224088700190003,0.16256938937351306,5,1.0,5,7,293,2,5,31
9UF2PH4MCY,69,0,crossover,0.6221534934334118,0.02643404705260377,4,0.0,4,16,194,5,4,13
AARUD073RZ,69,0,crossover,0.6221534934334118,0.02643404705260377,4,0.0,4,16,198,5,4,13
3X7LKDTLTN,69,0,mutation,0.32787107305985685,0.12133227597145124,6,1.0,6,25,321,2,6,43
07P7DTLW67,69,0,crossover,0.6821481448203254,0.0005286809410520732,8,0.0,8,12,336,6,8,71
