id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
MHXALXPMZ0,1,3,inicialization,0.48944907045855934,0.13862179487179488,24,0.0,,2,,,24,601
71ATS96MY1,1,2,inicialization,0.4688510516832277,0.10817307692307693,24,1.0,24,2,601,,24,569
96BM6T3TES,1,1,inicialization,0.5349760859718056,0.07051282051282051,15,0.0,15,10,557,7,15,275
3HFTDCV76O,1,1,inicialization,0.3887972508335158,0.23317307692307693,4,0.0,4,4,560,3,4,15
KFZ4EL8SYD,1,0,inicialization,0.31753811018325406,0.27323717948717946,4,1.0,4,22,297,1,4,16
DCWAULFUMH,1,1,inicialization,0.45000278726150544,0.09294871794871795,14,1.0,14,31,433,4,14,148
FCUGR2Z7P5,1,1,inicialization,0.8286672307124553,0.00560897435897436,15,1.0,17,37,52,8,15,52
FYHVM2SGQ2,1,0,inicialization,0.5747254129760302,0.05448717948717949,10,1.0,10,34,374,5,10,96
VXBJ8SQE6C,1,2,inicialization,0.5386936679289671,0.24038461538461542,5,0.0,5,11,43,4,5,24
SAAKU7XJ7R,1,0,inicialization,0.7750207814900583,0.0008012820512820554,9,1.0,9,38,229,7,9,78
T6GVBYVITZ,1,0,inicialization,0.6846499233607207,0.0376602564102564,10,0.0,10,3,431,8,10,163
PZUC7NBSYP,1,2,inicialization,0.6308565822212464,0.12580128205128205,14,0.0,17,39,46,7,14,46
A6T66M2OFT,1,0,inicialization,0.41679124635245235,0.05769230769230771,14,0.0,14,39,364,3,14,116
JTQCEL4Z38,1,1,inicialization,0.7754791437016905,0.0008012820512820554,21,0.0,22,16,580,9,21,255
6XYE9OWTWR,1,1,inicialization,0.6124072899245838,0.04887820512820515,14,1.0,14,3,219,7,14,219
RR4SF2XXFA,1,0,inicialization,0.3582584401952964,0.21875000000000006,4,1.0,4,33,563,2,4,15
SIM6FGI01Y,1,1,inicialization,0.46219680306244726,0.16987179487179488,12,0.0,12,34,498,4,12,125
WM6I2VYT3A,1,3,inicialization,0.851621469296248,1.0,9,0.0,9,25,533,9,9,66
R0JC2YWTRY,1,0,inicialization,0.5470641919538168,0.024038461538461536,18,1.0,18,11,522,7,18,298
4LG8GVBLXS,1,0,inicialization,0.35326331899317376,0.2556089743589744,9,1.0,9,18,36,2,9,36
LPPIUVWTYG,1,1,inicialization,0.3908876086283082,0.20753205128205127,10,1.0,15,16,50,3,10,50
N82A60KLG0,1,0,inicialization,0.3876906522787331,0.18269230769230765,15,0.0,15,33,399,2,15,128
27H8EHFUR7,1,0,inicialization,0.45502046087738235,0.1955128205128205,4,0.0,4,12,407,4,4,13
6V8VPA5M9Z,1,1,inicialization,0.4177003798025287,0.05769230769230771,17,0.0,24,36,247,3,17,129
DZHU8AR367,1,1,inicialization,0.8285527417125172,0.030448717948717948,8,0.0,8,31,186,8,8,63
WBMOTEDS27,1,2,inicialization,0.6298479917683282,0.12580128205128205,17,0.0,18,27,130,7,17,130
GE3W0L5APF,1,0,inicialization,0.5838671557934039,0.008012820512820512,17,1.0,21,35,164,6,17,156
CIOYV627WU,1,2,inicialization,0.5044965495935181,0.1121794871794872,19,0.0,22,30,590,6,19,159
191CS58CD3,1,0,inicialization,0.4246158144328819,0.21153846153846156,5,0.0,5,30,302,3,5,25
TAGVLU2DNZ,1,0,inicialization,0.5146492333464441,0.04006410256410253,13,1.0,13,14,578,5,13,204
EZXUR5A0CI,1,1,inicialization,0.8102452430241938,0.016025641025641024,17,1.0,23,36,100,9,17,100
WQR48UN0LN,1,0,inicialization,0.4163960472151028,0.1193910256410256,9,0.0,9,38,472,3,9,80
HPEZTGFHNX,1,2,inicialization,0.7314635090973965,0.07612179487179485,16,1.0,16,31,596,8,16,161
EGXDCY1EJ3,1,1,inicialization,0.9139337034176129,1.0,3,1.0,3,37,572,8,3,7
ASIRFLUJ1J,1,2,inicialization,0.41407230968476516,0.20192307692307693,10,1.0,10,28,454,3,10,107
ATHKOO2WQ0,1,2,inicialization,0.43373385578174484,0.1858974358974359,13,1.0,19,27,86,3,13,86
V7M8MKRFMS,1,0,inicialization,0.3754275438312539,0.15224358974358976,17,0.0,17,20,161,2,17,161
YW2S9I9ZB9,1,2,inicialization,0.42019092567584904,0.14022435897435898,17,1.0,17,32,347,3,17,155
ODQMXKGTH6,1,3,inicialization,0.4384925157281482,0.1810897435897436,20,1.0,20,20,276,3,20,224
VA5P3505IV,1,3,inicialization,0.8783645095231786,1.0,5,0.0,5,27,236,8,5,21
RW0ECN4W5Q,1,2,inicialization,0.7082442583195114,0.05528846153846152,18,1.0,20,33,172,7,18,162
G3R6YWU757,1,0,inicialization,0.8079326420173047,0.016025641025641024,7,1.0,7,10,386,9,7,52
