seed,id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
102,JWK9LYS1C7,1,3,inicialization,0.4634181584686107,0.07490421455938696,0.0,,2,,,25,576
102,87LY2O6IFD,1,0,inicialization,0.5162459038197619,0.001835887611749687,1.0,25,2,576,,25,576
102,L26O77J504,1,5,inicialization,0.6283231973382875,0.026261174968071517,1.0,8,5,193,7,8,120
102,611ZIKXNEP,1,2,inicialization,0.5524525952235755,0.007886334610472542,1.0,13,23,255,6,13,170
102,RU4826NZPN,1,7,inicialization,0.7758704549622059,0.01475095785440613,1.0,23,26,308,9,17,178
102,7DZH4LTE7Y,1,0,inicialization,0.4102505247879483,0.021695402298850572,1.0,12,36,101,4,12,101
102,MKO70IJ48O,1,4,inicialization,0.621028448461408,0.011653895274584932,0.0,8,12,68,7,8,68
102,A0RUR20P1M,1,2,inicialization,0.4475716229984006,0.057455300127713924,1.0,21,28,15,3,6,15
102,3NOQFKY4IA,1,2,inicialization,0.6755578661049871,0.004709450830140481,0.0,12,9,247,9,12,193
102,PKEH4HKRKL,1,1,inicialization,0.3774369805410923,0.07490421455938696,1.0,4,9,547,2,4,16
102,2Z4EV8I33P,1,3,inicialization,0.5856787172488004,0.02209450830140485,1.0,19,12,564,8,19,282
102,J4MEF9M2BQ,1,5,inicialization,0.42717517948786476,0.11767241379310345,1.0,15,25,272,3,15,184
102,LQ9FGHNJEL,1,3,inicialization,0.6115263734290495,0.0067369093231162205,1.0,12,26,244,7,12,158
102,4RWQ2PN4NZ,1,1,inicialization,0.5783450278588723,0.004517879948914429,0.0,18,15,282,7,17,259
102,FD3NB2BHT7,1,10,inicialization,1.0,1.0,1.0,3,37,556,7,3,8
102,D2M2YOQULR,1,8,inicialization,0.7264546102076082,0.01966794380587484,1.0,21,28,527,8,17,167
102,MSFH9QS6MN,1,3,inicialization,0.5573875059558062,0.030108556832694765,0.0,19,23,138,6,17,138
102,RAN2ZPKZ56,1,4,inicialization,0.4065967335815369,0.10549169859514687,0.0,15,19,164,2,15,164
102,7PV0GZF1F5,1,7,inicialization,0.6461132954987987,0.01906130268199234,0.0,11,35,515,7,11,110
102,SAU56CLMNY,1,3,inicialization,0.5239069726723355,0.03960727969348659,0.0,11,22,525,5,11,143
102,F67SC5YX1C,1,2,inicialization,0.550524887501658,0.012531928480204346,1.0,22,30,201,6,19,152
102,8XRSGPRWMK,1,5,inicialization,0.6368686339394825,0.01475095785440613,1.0,6,38,221,6,6,47
102,LP0XKSX8Z3,1,0,inicialization,0.8217045079917011,0.001213282247765006,0.0,6,34,189,8,6,27
102,9XLCHMPA03,1,2,inicialization,0.4857154709518504,0.03186462324393359,1.0,14,8,353,6,14,322
102,5X4BKNK0MM,1,2,inicialization,0.5292010563336325,0.027346743295019158,1.0,7,15,53,5,7,53
102,4IL9EGDUYT,1,5,inicialization,0.7032983667907684,0.012595785440613025,0.0,10,22,103,7,10,103
102,VTO35UINSF,1,6,inicialization,0.7373676404068672,0.011047254150702426,0.0,11,25,399,8,11,120
102,R5P71CYGB0,1,2,inicialization,0.4089931406454794,0.07696360153256704,1.0,14,34,507,1,14,139
102,NO8L2KXH43,1,0,inicialization,0.47196595385517637,0.007455300127713921,1.0,20,4,534,4,20,472
102,NG302YES4V,1,4,inicialization,0.57420226642916,0.031928480204342274,1.0,20,9,278,8,20,278
102,G4PT5A6ZLP,1,2,inicialization,0.3922011772560383,0.09101213282247764,1.0,8,3,418,2,8,141
102,IBOMVL71ZR,1,3,inicialization,0.40060756441826884,0.10043103448275861,1.0,14,33,487,3,14,147
102,LOA6ZN77BG,1,1,inicialization,0.42400514831477065,0.031816730523627074,1.0,17,9,249,2,16,249
102,YODQHUJBNZ,1,4,inicialization,0.7355450483824153,0.007072158365261814,1.0,7,33,493,7,7,64
102,CPEQUIM2QX,1,1,inicialization,0.5295350747819699,0.006066411238825037,0.0,9,14,114,6,9,114
102,ZV81B7Y20M,1,2,inicialization,0.5956638299389745,0.0067369093231162205,1.0,8,17,519,7,8,96
102,OMT3280N1N,1,3,inicialization,0.6909711223819941,0.00491698595146871,1.0,8,33,39,7,8,39
102,7QQBRYKI8R,1,2,inicialization,0.5993307143342144,0.00545977011494253,1.0,24,14,174,9,16,174
102,WU933YCXAH,1,1,inicialization,0.4819087237462041,0.016171775223499357,1.0,22,19,367,5,20,220
102,5SKHZYG65Y,1,2,inicialization,0.4685533440662901,0.03644636015325671,0.0,20,15,226,4,20,226
102,Y4QVM5MDMX,1,3,inicialization,0.5873896176727059,0.00828544061302682,1.0,11,16,75,7,11,75
102,1IOYLAQFWW,1,2,inicialization,0.4046792184468383,0.080316091954023,1.0,19,5,224,1,19,224
102,XHATSLHXL7,1,5,inicialization,0.7368195374950159,0.010440613026819924,1.0,9,35,293,8,9,86
102,2RB2IAI9WC,1,9,inicialization,1.0,1.0,0.0,16,34,5,7,3,5
102,IB5KYZAGJ6,1,0,inicialization,0.3506582881857354,0.03552043422733078,0.0,8,22,239,2,8,95
102,1NATSTLIQK,1,6,inicialization,0.6368686339394825,0.01475095785440613,1.0,6,12,71,6,6,52
102,OSYGJ98641,1,2,inicialization,0.3900496702706421,0.10582694763729245,0.0,24,23,290,2,20,180
102,C4DQDYTUTC,1,2,inicialization,0.3890625213586618,0.1222860791826309,0.0,14,30,97,1,12,97
102,2OBCFSEIE2,1,5,inicialization,0.6918201044191183,0.013537675606641124,1.0,4,4,163,5,4,15
102,YZZ0DS9G21,1,1,inicialization,0.42464231095635174,0.031529374201788,1.0,16,36,39,3,9,39
102,53HJABSQHV,2,0,crossover,0.7253076643395503,0.0008780332056194141,0.0,8,24,129,7,8,68
102,87LY2O6IFD,2,0,inicialization,0.5162459038197619,0.001835887611749687,1.0,25,2,576,,25,576
102,E39VOD1B0Z,2,0,mutation,0.46111194542886424,0.006816730523627079,1.0,14,23,286,4,14,185
102,KVTA7LVE14,2,0,crossover,0.42096557654089484,0.007167943805874849,1.0,22,14,383,2,22,255
102,7DZH4LTE7Y,2,0,inicialization,0.4102505247879483,0.021695402298850572,1.0,12,36,101,4,12,101
102,IB5KYZAGJ6,2,0,inicialization,0.3506582881857354,0.03552043422733078,0.0,8,22,239,2,8,95
102,D3PWIYXS3O,2,0,crossover,0.34364193407063026,0.14313537675606638,0.0,6,15,390,2,6,54
102,LP0XKSX8Z3,2,1,inicialization,0.8217045079917011,0.001213282247765006,0.0,6,34,189,8,6,27
102,6JIA6PEEYR,2,1,crossover,0.6051712389194537,0.00209131545338442,0.0,7,13,57,6,7,57
102,4RWQ2PN4NZ,2,1,inicialization,0.5783450278588723,0.004517879948914429,0.0,18,15,282,7,17,259
102,CPEQUIM2QX,2,1,inicialization,0.5295350747819699,0.006066411238825037,0.0,9,14,114,6,9,114
102,NO8L2KXH43,2,1,inicialization,0.47196595385517637,0.007455300127713921,1.0,20,4,534,4,20,472
102,XEJWDQB1LZ,2,1,crossover,0.4527655704771797,0.020019157088122616,1.0,20,15,325,4,20,265
102,U2S9IWM9MX,2,1,crossover,0.4429431774941497,0.02318007662835249,1.0,17,27,229,4,17,176
102,YZZ0DS9G21,2,1,inicialization,0.42464231095635174,0.031529374201788,1.0,16,36,39,3,9,39
102,LOA6ZN77BG,2,1,inicialization,0.42400514831477065,0.031816730523627074,1.0,17,9,249,2,16,249
102,BLT41GAHGT,2,1,crossover,0.3898778774691144,0.0651500638569604,1.0,10,22,279,2,10,151
102,PKEH4HKRKL,2,1,inicialization,0.3774369805410923,0.07490421455938696,1.0,4,9,547,2,4,16
102,RHB59CBDME,2,1,crossover,0.3510888148114274,0.08030012771392084,1.0,6,16,396,2,6,55
