seed,id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
100,J33LZW16H8,1,10,inicialization,0.1436511614223247,1.0,0.0,,2,,,4,6
100,HF3QDNVOTN,1,10,inicialization,0.1436511614223247,1.0,1.0,4,2,6,,4,6
100,LJMWX0NZ39,1,7,inicialization,0.2254033307585166,0.1111111111111111,0.0,4,16,5,6,2,4
100,LAZJKMKBP2,1,12,inicialization,0.198959010620139,1.0,1.0,4,17,4,7,2,4
100,DP6SV7V8X4,1,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,6,3,4,2,3
100,P165QJDUKD,1,6,inicialization,0.1436511614223247,1.0,1.0,4,7,2,6,1,2
100,OT7NWV3AH4,1,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,4,29,3,4,2,3
100,GZJ48C2KD4,1,0,inicialization,0.3876275643042054,0.11111111111111105,1.0,3,10,3,2,2,3
100,INFHQEZC81,1,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,19,3,6,2,3
100,Q0JN0ERZQG,1,6,inicialization,0.18350341907227397,0.2222222222222222,0.0,4,17,3,3,2,3
100,TCB9SOZAFO,1,3,inicialization,0.09170489377075253,1.0,0.0,4,26,5,8,3,4
100,WU2CLFBW9J,1,6,inicialization,0.1436511614223247,1.0,0.0,4,28,2,4,1,2
100,ZLYY2MNK9R,1,2,inicialization,0.09170489377075253,1.0,0.0,3,30,4,8,3,4
100,6HTIHODZ31,1,6,inicialization,0.1436511614223247,1.0,1.0,4,5,2,5,1,2
100,BJ4GFSG9JI,1,13,inicialization,0.198959010620139,1.0,1.0,4,8,6,4,3,5
100,YG5UH4SOWO,1,4,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,21,4,2,3,4
100,D4W64N5D6Q,1,1,inicialization,0.09170489377075253,1.0,0.0,4,39,5,7,2,3
100,CO3AHOXUHT,1,1,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,35,4,6,2,3
100,UFKVJM1FFU,1,6,inicialization,0.1436511614223247,1.0,1.0,3,8,2,8,1,2
100,BN7K4C82WA,1,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,40,3,4,2,3
100,NRQNSZZQVB,1,6,inicialization,0.1436511614223247,1.0,1.0,3,22,2,4,1,2
100,WHK4XN7PZB,1,4,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,12,4,1,3,4
100,EWCQ3S8ZXU,1,2,inicialization,0.09170489377075253,1.0,0.0,3,9,4,4,3,4
100,0P5G7NLEPF,1,9,inicialization,0.1436511614223247,1.0,0.0,4,13,4,9,2,4
100,V0CR4WVE6S,1,8,inicialization,0.2254033307585166,0.1111111111111111,1.0,4,16,6,4,2,4
100,CARF8GR148,1,5,inicialization,0.17841616374225078,0.1111111111111111,0.0,4,23,5,1,4,5
100,TLFF5N7FVJ,1,8,inicialization,0.18350341907227397,0.2222222222222222,1.0,4,17,6,2,3,4
100,1PF2XAS1A2,1,2,inicialization,0.17841616374225078,0.1111111111111111,1.0,4,33,5,5,2,3
100,7I4JNSYABZ,1,2,inicialization,0.17841616374225078,0.1111111111111111,1.0,4,39,5,6,2,3
100,PJP4L0TS7Y,1,1,inicialization,0.17841616374225078,0.1111111111111111,0.0,4,32,4,5,2,3
100,IC6DB61YYO,1,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,27,3,5,2,3
100,K49XWW0RE1,1,5,inicialization,0.09170489377075253,1.0,0.0,4,2,6,1,4,6
100,X40Q2I5WSA,1,3,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,32,6,6,2,3
100,RDCF72WBWM,1,1,inicialization,0.17841616374225078,0.1111111111111111,1.0,4,30,4,5,2,3
100,SUUUQGKT26,1,6,inicialization,0.2254033307585166,0.1111111111111111,1.0,3,15,4,5,2,4
100,ZWLPOSS5T9,1,6,inicialization,0.1436511614223247,1.0,1.0,3,40,2,4,1,2
100,Y914S70B7Z,1,11,inicialization,0.198959010620139,1.0,1.0,4,14,3,9,2,3
100,1HLIHF3JMK,1,6,inicialization,0.2254033307585166,0.1111111111111111,0.0,4,23,4,6,2,4
100,TEZGV523S9,1,7,inicialization,0.18350341907227397,0.2222222222222222,1.0,4,24,5,2,3,4
100,B3FUBC89G7,1,8,inicialization,0.1436511614223247,1.0,1.0,3,36,5,7,2,3
100,GSAVB3LD0D,1,2,inicialization,0.17841616374225078,0.1111111111111111,1.0,4,30,5,4,2,3
100,Q5FD34QOYC,1,7,inicialization,0.1436511614223247,1.0,1.0,4,2,3,7,2,3
100,AL0KNTOEJ6,1,1,inicialization,0.09170489377075253,1.0,0.0,3,40,5,7,2,3
100,SMGZVDWZC6,1,7,inicialization,0.1436511614223247,1.0,1.0,4,35,3,7,2,3
100,T9KE93YHAC,1,0,inicialization,0.09170489377075253,1.0,0.0,4,39,3,8,2,3
100,769K3DKGBX,1,7,inicialization,0.2254033307585166,0.1111111111111111,1.0,3,22,5,6,2,4
100,DXON2GH3C5,1,6,inicialization,0.2254033307585166,0.1111111111111111,1.0,3,18,4,4,2,4
100,Q5EQXYMG8N,1,4,inicialization,0.09170489377075253,1.0,0.0,4,3,5,1,4,5
100,Z57CQWXFFC,1,6,inicialization,0.1436511614223247,1.0,0.0,3,37,2,5,1,2
100,G2BYM8ESJG,1,8,inicialization,0.1436511614223247,1.0,1.0,4,40,5,9,2,3
100,GZJ48C2KD4,2,0,inicialization,0.3876275643042054,0.11111111111111105,1.0,3,10,3,2,2,3
100,DP6SV7V8X4,2,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,6,3,4,2,3
100,OT7NWV3AH4,2,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,4,29,3,4,2,3
100,INFHQEZC81,2,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,19,3,6,2,3
100,BN7K4C82WA,2,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,40,3,4,2,3
100,IC6DB61YYO,2,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,27,3,5,2,3
100,Q5ZXI6FPU1,2,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,30,3,4,2,3
100,5IYZ7GBNT0,2,0,crossover,0.17841616374225078,0.1111111111111111,1.0,3,35,3,5,2,3
100,KHPD6REFO4,2,0,crossover,0.17841616374225078,0.1111111111111111,1.0,4,36,3,6,2,3
100,CK8N182K2K,2,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,27,3,5,2,3
100,PGA3T8CZ7V,2,0,crossover,0.17841616374225078,0.1111111111111111,0.0,4,28,3,5,2,3
100,14WPH1ZZX2,2,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,28,3,4,2,3
100,DGHMNLR0PD,2,0,crossover,0.17841616374225078,0.1111111111111111,0.0,4,35,3,6,2,3
100,I4HGBFCRW3,2,0,crossover,0.17841616374225078,0.1111111111111111,1.0,4,22,3,6,2,3
100,D5ITT0UZ5K,2,0,crossover,0.17841616374225078,0.1111111111111111,0.0,4,9,3,5,2,3
100,J4OJOPE88W,2,0,mutation,0.17841616374225078,0.1111111111111111,0.0,4,30,3,4,2,3
100,I33DDMCISQ,2,0,mutation,0.17841616374225078,0.1111111111111111,0.0,3,32,3,5,2,3
100,XRQRVKDXRI,2,0,mutation,0.17841616374225078,0.1111111111111111,0.0,3,27,3,5,2,3
100,1G4JO4Z9X6,2,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,32,3,5,2,3
100,T9KE93YHAC,2,0,inicialization,0.09170489377075253,1.0,0.0,4,39,3,8,2,3
100,1Q20JUGMCC,2,0,crossover,0.09170489377075253,1.0,0.0,3,37,3,7,2,3
100,CO3AHOXUHT,2,1,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,35,4,6,2,3
100,PJP4L0TS7Y,2,1,inicialization,0.17841616374225078,0.1111111111111111,0.0,4,32,4,5,2,3
100,RDCF72WBWM,2,1,inicialization,0.17841616374225078,0.1111111111111111,1.0,4,30,4,5,2,3
100,UA1LSPCRYU,2,1,crossover,0.17841616374225078,0.1111111111111111,0.0,4,30,4,6,2,3
100,H1ZM1PCMQH,2,1,mutation,0.17841616374225078,0.1111111111111111,0.0,4,35,4,5,2,3
100,ITOES7CIO7,2,1,crossover,0.17841616374225078,0.1111111111111111,0.0,4,31,4,4,2,3
100,054R1HH6P7,2,1,crossover,0.17841616374225078,0.1111111111111111,0.0,4,31,4,5,2,3
100,09OLUL6D5N,2,1,crossover,0.17841616374225078,0.1111111111111111,0.0,4,32,4,5,2,3
100,D4W64N5D6Q,2,1,inicialization,0.09170489377075253,1.0,0.0,4,39,5,7,2,3
100,AL0KNTOEJ6,2,1,inicialization,0.09170489377075253,1.0,0.0,3,40,5,7,2,3
100,1PF2XAS1A2,2,2,inicialization,0.17841616374225078,0.1111111111111111,1.0,4,33,5,5,2,3
100,7I4JNSYABZ,2,2,inicialization,0.17841616374225078,0.1111111111111111,1.0,4,39,5,6,2,3
100,GSAVB3LD0D,2,2,inicialization,0.17841616374225078,0.1111111111111111,1.0,4,30,5,4,2,3
100,AL6679FIA2,2,2,crossover,0.17841616374225078,0.1111111111111111,1.0,4,29,5,6,2,3
100,907WF8RP9Z,2,2,mutation,0.17841616374225078,0.1111111111111111,0.0,4,29,5,4,2,3
100,TJ2HJYSIQW,2,2,crossover,0.17841616374225078,0.1111111111111111,1.0,4,36,5,6,2,3
100,N6DD7MT94S,2,2,crossover,0.17841616374225078,0.1111111111111111,0.0,4,33,5,4,2,3
100,ZBCJERXTEG,2,2,crossover,0.17841616374225078,0.1111111111111111,1.0,4,31,5,5,2,3
100,66FOFIR89H,2,2,crossover,0.17841616374225078,0.1111111111111111,1.0,4,36,5,6,2,3
100,A57SNG5374,2,2,crossover,0.17841616374225078,0.1111111111111111,0.0,4,36,5,6,2,3
100,UPN7P0U84Q,2,2,crossover,0.17841616374225078,0.1111111111111111,0.0,3,34,5,6,2,3
100,7VCR0MSRAY,2,2,crossover,0.17841616374225078,0.1111111111111111,0.0,3,33,5,6,2,3
100,ZLYY2MNK9R,2,2,inicialization,0.09170489377075253,1.0,0.0,3,30,4,8,3,4
100,EWCQ3S8ZXU,2,2,inicialization,0.09170489377075253,1.0,0.0,3,9,4,4,3,4
100,VTUAMRTMZM,2,2,mutation,0.09170489377075253,1.0,0.0,3,35,4,7,3,4
100,SVB8ECWPJH,2,2,mutation,0.09170489377075253,1.0,0.0,4,37,4,7,3,4
100,X40Q2I5WSA,2,3,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,32,6,6,2,3
100,TCB9SOZAFO,2,3,inicialization,0.09170489377075253,1.0,0.0,4,26,5,8,3,4
100,5MT3YEGRDL,2,4,crossover,0.17841616374225078,0.1111111111111111,0.0,3,7,4,1,3,4
100,T9KE93YHAC,3,0,inicialization,0.09170489377075253,1.0,0.0,4,39,3,8,2,3
100,GZJ48C2KD4,3,0,inicialization,0.3876275643042054,0.11111111111111105,1.0,3,10,3,2,2,3
100,8RPSFJOVZ1,3,0,crossover,0.09170489377075253,1.0,0.0,4,36,3,7,2,3
100,TGSU4OSCW2,3,0,crossover,0.17841616374225078,0.1111111111111111,1.0,4,22,3,4,2,3
100,DP6SV7V8X4,3,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,6,3,4,2,3
100,OT7NWV3AH4,3,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,4,29,3,4,2,3
100,INFHQEZC81,3,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,19,3,6,2,3
100,BN7K4C82WA,3,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,40,3,4,2,3
100,IC6DB61YYO,3,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,27,3,5,2,3
100,Q5ZXI6FPU1,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,30,3,4,2,3
100,5IYZ7GBNT0,3,0,crossover,0.17841616374225078,0.1111111111111111,1.0,3,35,3,5,2,3
100,KHPD6REFO4,3,0,crossover,0.17841616374225078,0.1111111111111111,1.0,4,36,3,6,2,3
100,CK8N182K2K,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,27,3,5,2,3
100,PGA3T8CZ7V,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,4,28,3,5,2,3
100,14WPH1ZZX2,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,28,3,4,2,3
100,DGHMNLR0PD,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,4,35,3,6,2,3
100,I4HGBFCRW3,3,0,crossover,0.17841616374225078,0.1111111111111111,1.0,4,22,3,6,2,3
100,D5ITT0UZ5K,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,4,9,3,5,2,3
100,J4OJOPE88W,3,0,mutation,0.17841616374225078,0.1111111111111111,0.0,4,30,3,4,2,3
100,I33DDMCISQ,3,0,mutation,0.17841616374225078,0.1111111111111111,0.0,3,32,3,5,2,3
100,XRQRVKDXRI,3,0,mutation,0.17841616374225078,0.1111111111111111,0.0,3,27,3,5,2,3
100,1G4JO4Z9X6,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,32,3,5,2,3
100,R9X624IUQJ,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,31,3,6,2,3
100,GLQMSD3RAU,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,33,3,5,2,3
100,W5P8M7YBQ8,3,0,crossover,0.17841616374225078,0.1111111111111111,1.0,4,33,3,5,2,3
100,I831NMPD42,3,0,mutation,0.17841616374225078,0.1111111111111111,0.0,3,31,3,4,2,3
100,34OHFZFNB3,3,0,mutation,0.17841616374225078,0.1111111111111111,0.0,3,31,3,5,2,3
100,1QVHAJHZ5G,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,28,3,5,2,3
100,S93UQH3CVP,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,21,3,5,2,3
100,1VWZHYD6EV,3,0,crossover,0.17841616374225078,0.1111111111111111,1.0,3,32,3,5,2,3
100,4P2U1L7ND6,3,0,mutation,0.17841616374225078,0.1111111111111111,0.0,3,30,3,5,2,3
100,37O1LWUTKC,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,4,21,3,5,2,3
100,Z3783S3VPV,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,16,3,4,2,3
100,Y6JLKI7SYH,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,28,3,5,2,3
100,DPHQEFBNC3,3,0,mutation,0.17841616374225078,0.1111111111111111,0.0,3,27,3,4,2,3
100,SRXDWEFUIP,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,28,3,5,2,3
100,RWHRQ9CNJA,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,35,3,6,2,3
100,O61E5Y2P8H,3,0,mutation,0.17841616374225078,0.1111111111111111,0.0,3,27,3,6,2,3
100,4R8JW76RA4,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,4,30,3,5,2,3
100,CHL9RB9C3K,3,0,crossover,0.17841616374225078,0.1111111111111111,1.0,3,32,3,5,2,3
100,03RKC96PI4,3,0,mutation,0.17841616374225078,0.1111111111111111,0.0,3,31,3,4,2,3
100,DFGR5ZVRU9,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,33,3,6,2,3
100,XUI7DPIPFB,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,31,3,6,2,3
100,8GWIPTUGDX,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,4,32,3,6,2,3
100,OPGZMFZEWC,3,0,mutation,0.17841616374225078,0.1111111111111111,0.0,3,30,3,4,2,3
100,A86D5H3Y8X,3,0,mutation,0.17841616374225078,0.1111111111111111,0.0,3,31,3,5,2,3
100,3D5VC78MNL,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,31,3,4,2,3
100,S5YRK0PVBD,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,33,3,6,2,3
100,0WRQSRYJQN,3,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,31,3,6,2,3
100,C8NYGIHG7K,3,0,mutation,0.17841616374225078,0.1111111111111111,0.0,4,25,3,6,2,3
100,T9KE93YHAC,4,0,inicialization,0.09170489377075253,1.0,0.0,4,39,3,8,2,3
100,GZJ48C2KD4,4,0,inicialization,0.3876275643042054,0.11111111111111105,1.0,3,10,3,2,2,3
100,1YSN5T9VW7,4,0,mutation,0.3876275643042054,0.11111111111111105,1.0,3,19,3,3,2,3
100,VXO5I11JH7,4,0,crossover,0.09170489377075253,1.0,0.0,4,34,3,7,2,3
100,DU32QPB70F,4,0,mutation,0.17841616374225078,0.1111111111111111,1.0,3,21,3,4,2,3
100,TGSU4OSCW2,4,0,crossover,0.17841616374225078,0.1111111111111111,1.0,4,22,3,4,2,3
100,AUFMBPV60B,4,0,mutation,0.3876275643042054,0.11111111111111105,1.0,3,25,3,3,2,3
100,XEBT4JYQFS,4,0,crossover,0.3876275643042054,0.11111111111111105,1.0,3,17,3,3,2,3
100,DP6SV7V8X4,4,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,6,3,4,2,3
100,OT7NWV3AH4,4,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,4,29,3,4,2,3
100,INFHQEZC81,4,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,19,3,6,2,3
100,BN7K4C82WA,4,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,40,3,4,2,3
100,IC6DB61YYO,4,0,inicialization,0.17841616374225078,0.1111111111111111,0.0,3,27,3,5,2,3
100,Q5ZXI6FPU1,4,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,30,3,4,2,3
100,5IYZ7GBNT0,4,0,crossover,0.17841616374225078,0.1111111111111111,1.0,3,35,3,5,2,3
100,KHPD6REFO4,4,0,crossover,0.17841616374225078,0.1111111111111111,1.0,4,36,3,6,2,3
100,CK8N182K2K,4,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,27,3,5,2,3
100,PGA3T8CZ7V,4,0,crossover,0.17841616374225078,0.1111111111111111,0.0,4,28,3,5,2,3
100,14WPH1ZZX2,4,0,crossover,0.17841616374225078,0.1111111111111111,0.0,3,28,3,4,2,3
