id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
32POPON8X9,6,1,mutation,0.3469406715416382,0.27116402116402116,1.0,16,19,151,2,16,151
8S6HY69QF5,6,2,inicialization,0.7308505221230377,0.0026455026455026454,0.0,11,38,569,8,11,77
W9XKKBV6CW,6,2,mutation,0.3626914701950379,0.32539682539682546,1.0,7,27,257,2,7,59
S0SQZERT6O,6,2,crossover,0.3675088577339244,0.16402116402116407,0.0,6,26,102,1,6,41
BC53DDP8RB,6,2,mutation,0.6494277522380003,0.010582010582010581,0.0,17,35,505,7,17,141
D4K12OOX4C,6,2,crossover,0.5421849777534657,0.04100529100529102,0.0,8,7,327,,8,102
7518YMQLR3,6,2,mutation,0.43050520254850055,0.0992063492063493,1.0,7,17,245,1,7,63
XUWHJYMA5Y,6,2,crossover,0.6238171807305476,0.03835978835978837,0.0,21,17,334,8,21,243
CMD4JWSZJ4,6,2,crossover,0.39000073844380834,0.12698412698412698,1.0,10,18,161,1,10,128
2KA2UTINUN,6,2,mutation,0.43871126410282824,0.0793650793650793,1.0,5,28,297,1,5,24
8IJPTJ1G6O,6,2,crossover,0.4613998792331271,0.06613756613756616,0.0,14,13,337,4,14,248
A7D20C2ZBA,6,2,mutation,0.6314381492370136,0.0291005291005291,0.0,17,18,234,8,17,212
3WOLZ0SEX1,6,2,inicialization,0.3831422258627897,0.15740740740740744,0.0,18,6,41,1,12,41
0Z66J1TPQQ,6,2,mutation,0.4801940764110145,0.06216931216931215,0.0,23,5,623,5,21,472
TMU1K3NAPU,6,2,crossover,0.4968746327850928,0.0582010582010582,0.0,13,6,451,5,13,302
BLDLR612V7,7,0,mutation,0.6585404934774921,0.0013227513227513227,0.0,13,37,455,7,13,115
Q95GW8AU9G,7,0,inicialization,0.6316948973355805,0.003968253968253954,0.0,19,17,451,9,19,242
GTXGG1MRY0,7,0,crossover,0.6225023119216431,0.005291005291005291,0.0,13,27,557,7,13,133
0248QKR3OC,7,0,crossover,0.6140181584815395,0.014550264550264563,0.0,15,27,533,7,15,153
IU08S1VV7Q,7,0,inicialization,0.445948582735345,0.02910052910052907,0.0,,2,,,23,623
QNHT95311I,7,0,crossover,0.4088947594502267,0.06349206349206349,0.0,23,8,475,4,20,366
HP054GFNOJ,7,0,crossover,0.3841068888806075,0.11243386243386244,1.0,10,19,158,1,10,124
NS4G6UARJT,7,0,crossover,0.37460643022404116,0.11375661375661383,0.0,10,8,158,1,10,158
ZWW6OHASLS,7,0,mutation,0.3742751950485489,0.12169312169312163,0.0,6,16,183,1,6,43
TUA1QFXFRJ,7,0,crossover,0.3704570512472367,0.13624338624338628,1.0,23,15,147,1,19,147
POQ4U4LMOA,7,0,crossover,0.3548098960226759,0.1507936507936508,1.0,11,22,131,1,11,131
U8H9YU1X0P,7,0,crossover,0.340133783692919,0.16798941798941797,1.0,8,11,456,2,8,90
CB450R9BQ1,7,0,mutation,0.3363084402476656,0.17724867724867727,1.0,8,25,161,2,8,81
FVJAO5B7N7,7,1,crossover,0.6965661982044979,0.0026455026455026454,0.0,16,28,535,8,16,155
IZAR9UHDWF,7,1,inicialization,0.6869936534621495,0.006613756613756613,0.0,7,5,434,7,7,58
CXSRCVCLS1,7,1,inicialization,0.6674694351242633,0.007936507936507936,0.0,22,33,48,7,12,48
5EF91HSCL4,7,1,crossover,0.648209214508457,0.010582010582010581,0.0,15,21,483,8,15,167
CL0XOCV5ME,7,1,mutation,0.6393199616140504,0.019841269841269854,0.0,17,23,525,8,17,184
QD9TVWGKMA,7,1,inicialization,0.6235538395577507,0.027777777777777762,0.0,19,15,605,9,19,254
UDFQ89CR0S,7,1,crossover,0.598987767255398,0.03306878306878308,0.0,19,23,403,7,19,194
SBNFCW2PY9,7,1,crossover,0.5009107393560847,0.03439153439153436,0.0,21,5,623,,21,475
U6CC9UFH5M,7,1,mutation,0.4815563832162809,0.05291005291005291,0.0,8,5,327,4,8,127
U2SALI0WZY,7,1,mutation,0.47701480564597865,0.06216931216931215,0.0,8,10,327,4,8,111
O87MHW5I3O,7,1,crossover,0.46098187364380727,0.06613756613756616,0.0,12,12,280,4,12,217
C41LWB8PNO,7,1,mutation,0.43312139628369173,0.07407407407407407,0.0,17,9,486,4,17,330
PE5X5CEZGA,7,1,mutation,0.4232898521834434,0.07539682539682546,0.0,5,16,251,1,5,25
JNF8UDZCKF,7,1,crossover,0.4232898521834434,0.07539682539682546,0.0,5,16,246,1,5,25
