id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
G1XZQXCSUM,93,0,crossover,0.29847349336759865,0.2564102564102564,4,0.0,11,21,4,3,2,4
EOCSOLTD8G,93,0,crossover,0.29847349336759865,0.2564102564102564,4,0.0,11,23,4,3,2,4
5AIT6TB8Q8,93,0,crossover,0.29847349336759865,0.2564102564102564,4,0.0,11,19,4,3,2,4
D274RLJC28,93,0,mutation,0.29847349336759865,0.2564102564102564,4,0.0,10,22,4,3,2,4
ZCJ0UOKUJA,93,0,crossover,0.29847349336759865,0.2564102564102564,4,0.0,10,23,4,3,2,4
MVH5Q89YTP,93,0,mutation,0.29847349336759865,0.2564102564102564,4,0.0,11,24,4,3,2,4
Q9PGR8H274,93,0,crossover,0.29847349336759865,0.2564102564102564,4,0.0,11,22,4,3,2,4
4RQ1VXMY1J,93,0,crossover,0.29847349336759865,0.2564102564102564,4,0.0,11,22,4,3,2,4
J3GQYH45WE,93,0,mutation,0.29847349336759865,0.2564102564102564,4,0.0,11,23,4,3,2,4
PT8OZRRZ7O,93,0,crossover,0.29847349336759865,0.2564102564102564,4,0.0,10,22,4,3,2,4
VULZJFALCD,93,0,crossover,0.29847349336759865,0.2564102564102564,4,0.0,11,21,4,3,2,4
LG8LLWFDVI,93,0,crossover,0.29847349336759865,0.2564102564102564,4,0.0,11,23,4,3,2,4
A0OXQSWZCT,93,0,crossover,0.3365307938119445,0.07532051282051283,5,0.0,11,23,5,4,4,5
9JPRNMQXR2,93,0,mutation,0.3365307938119445,0.07532051282051283,5,0.0,11,22,5,4,4,5
LPO7SF7RD4,93,0,crossover,0.3365307938119445,0.07532051282051283,5,0.0,12,23,5,4,4,5
WVMCJG3E0M,93,0,crossover,0.3365307938119445,0.07532051282051283,5,0.0,11,21,5,4,4,5
C9Z1CH3WJA,93,0,crossover,0.3365307938119445,0.07532051282051283,5,0.0,11,22,5,4,4,5
1LD07NEVYZ,93,0,crossover,0.3365307938119445,0.07532051282051283,5,0.0,11,22,5,4,4,5
7O5MO3F3K5,94,0,mutation,0.34817150815945486,0.07532051282051283,3,0.0,11,19,3,4,2,3
B1CL76S2FO,94,0,mutation,0.34817150815945486,0.07532051282051283,3,0.0,11,23,3,4,2,3
OLD1MUESML,94,0,crossover,0.29847349336759865,0.2564102564102564,3,0.0,11,20,3,3,2,3
LHQOX5E136,94,0,crossover,0.3365307938119445,0.07532051282051283,5,0.0,12,23,5,4,4,5
85Q2MDE2WX,94,0,mutation,0.3365307938119445,0.07532051282051283,5,0.0,11,19,5,4,4,5
A0OXQSWZCT,94,0,crossover,0.3365307938119445,0.07532051282051283,5,0.0,11,23,5,4,4,5
9JPRNMQXR2,94,0,mutation,0.3365307938119445,0.07532051282051283,5,0.0,11,22,5,4,4,5
LPO7SF7RD4,94,0,crossover,0.3365307938119445,0.07532051282051283,5,0.0,12,23,5,4,4,5
WVMCJG3E0M,94,0,crossover,0.3365307938119445,0.07532051282051283,5,0.0,11,21,5,4,4,5
C9Z1CH3WJA,94,0,crossover,0.3365307938119445,0.07532051282051283,5,0.0,11,22,5,4,4,5
1LD07NEVYZ,94,0,crossover,0.3365307938119445,0.07532051282051283,5,0.0,11,22,5,4,4,5
IUP2OJMHWG,94,0,mutation,0.3365307938119445,0.07532051282051283,5,0.0,11,22,5,4,4,5
VWK4F7ND6C,94,0,mutation,0.3365307938119445,0.07532051282051283,5,0.0,11,21,5,4,4,5
7P2JCVSZ23,94,0,crossover,0.3365307938119445,0.07532051282051283,5,0.0,11,21,5,4,4,5
6OQD60UY03,94,0,crossover,0.3247870642944647,0.13782051282051283,5,0.0,11,25,5,4,3,5
TNQ3RS9R3N,94,0,mutation,0.3247870642944647,0.13782051282051283,5,0.0,11,25,5,4,3,5
500X1UJ8A9,94,0,crossover,0.30189202087882905,0.08653846153846156,6,0.0,11,20,6,4,4,6
N28QDG63BR,94,0,mutation,0.30189202087882905,0.08653846153846156,6,0.0,12,24,6,4,4,6
BJJRAKCQ71,94,0,crossover,0.30189202087882905,0.08653846153846156,6,0.0,11,23,6,5,4,6
1O7EOUG05B,94,0,crossover,0.30189202087882905,0.08653846153846156,6,0.0,11,21,6,4,4,6
A2WYL8PGPR,94,0,mutation,0.7673299797011557,0.01121794871794872,8,1.0,12,22,8,7,4,8
KQ2GQ20CLN,94,0,crossover,0.29847349336759865,0.17948717948717952,10,0.0,10,15,10,3,4,10
UC0GASI16N,94,0,crossover,0.29847349336759865,0.17948717948717952,10,0.0,10,15,10,3,4,10
MS2N2QDFEE,94,0,crossover,0.260895962767267,0.3733974358974359,10,1.0,12,27,10,6,5,10
BORYKAL4K4,94,0,crossover,0.260895962767267,0.3733974358974359,10,1.0,12,27,10,6,5,10
ZPVTZ9T0Q9,94,0,mutation,0.2480601527817624,0.20512820512820518,11,0.0,10,15,11,3,4,11
E3RH740VBF,94,0,crossover,0.2480601527817624,0.20512820512820518,11,0.0,10,15,11,3,4,11
0GSHDZWX5N,94,0,mutation,0.2480601527817624,0.20512820512820518,11,0.0,10,20,11,3,4,11
EVVEHUHJVA,94,0,mutation,0.24470427405583162,0.3221153846153846,11,0.0,10,8,11,5,5,11
H04UMC56R5,94,0,mutation,0.24470427405583162,0.3221153846153846,11,0.0,12,18,11,5,5,11
7UADXBWACL,94,0,inicialization,0.6722036542416167,0.02243589743589744,12,0.0,4,33,55,7,4,12
CZ540FXCJK,94,0,crossover,0.6459394802090451,0.0032051282051281937,14,0.0,12,14,14,7,7,14
SOPHJYEWRE,94,0,mutation,0.6459394802090451,0.0032051282051281937,14,0.0,11,13,14,7,7,14
UVYGI83BUV,94,0,crossover,0.38042856520322754,0.0016025641025640969,16,0.0,11,13,16,7,7,16
CERZUV3IHW,94,0,crossover,0.2947807116203742,0.1858974358974359,19,1.0,12,14,19,6,7,19
YW4W0T9X0U,94,0,mutation,0.3662488936511752,0.038461538461538436,26,0.0,11,20,26,5,9,26
NMZ9XD6Y7P,94,0,crossover,0.2845805306757616,0.17948717948717952,29,0.0,11,13,29,2,8,29
326T411K0B,94,0,mutation,0.2754665394372381,0.17948717948717952,30,0.0,10,14,30,2,8,30
Z2FT3B0PMN,94,0,crossover,0.26646577867019217,0.17948717948717952,31,0.0,10,15,31,2,8,31
XSELCT6SGI,94,1,mutation,0.2643256983835963,0.3733974358974359,10,0.0,11,25,10,5,5,10
4HT5QZM6SF,94,1,crossover,0.25536780767581446,0.3221153846153846,14,1.0,11,19,14,5,6,14
6I6JFWX30C,94,1,crossover,0.33942174092418376,0.07532051282051283,7,1.0,12,24,7,6,4,7
ULGGC8472K,94,1,crossover,0.3606650755736467,0.1266025641025641,4,0.0,11,21,4,4,3,4
M9B5A7K9LT,94,1,mutation,0.2845805306757616,0.17948717948717952,30,0.0,10,14,30,2,8,30
V9B3651A7U,94,1,crossover,0.2780182206739963,0.27083333333333337,17,0.0,10,19,17,3,6,17
FOBXCZZAMV,94,1,crossover,0.3247870642944647,0.13782051282051283,6,0.0,11,25,6,4,3,6
