id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
6XQ7BFX7L9,1,1,inicialization,0.0871290708247231,0.0,0.0,,2,,,4,8
8HNZ0UDA6Z,1,3,inicialization,0.18350341907227397,0.0,1.0,4,2,8,,3,4
SVA3I2B70Q,1,5,inicialization,0.26970325665977846,0.19047619047619047,0.0,4,4,5,7,3,5
IN142CSFBZ,1,2,inicialization,0.1339745962155613,0.0,0.0,4,32,8,3,4,5
BQJQN4GS7R,1,3,inicialization,0.18350341907227397,0.0,1.0,3,13,5,5,3,4
6MLFCD931V,1,5,inicialization,0.26970325665977846,0.19047619047619047,0.0,3,6,4,7,3,4
1GIRN24DXV,1,2,inicialization,0.1339745962155613,0.0,1.0,4,23,3,3,2,3
TSSNUFICFL,1,2,inicialization,0.1339745962155613,0.0,0.0,4,28,3,2,2,3
CX8J607ATI,1,2,inicialization,0.1339745962155613,0.0,1.0,3,19,7,2,3,4
XTWFVCPLS1,1,2,inicialization,0.1339745962155613,0.0,1.0,4,21,4,2,3,4
P3CJLPXURY,1,5,inicialization,0.2928932188134524,0.0,1.0,3,15,8,6,2,3
55S43SNO3N,1,8,inicialization,0.4083920216900384,0.380952380952381,0.0,4,36,6,6,1,2
6MEG6B6Q6B,1,2,inicialization,0.1339745962155613,0.0,1.0,3,30,4,2,3,4
2DYSY0WS5B,1,5,inicialization,0.26970325665977846,0.19047619047619047,0.0,4,7,6,7,3,5
MBF6HHT4T8,1,5,inicialization,0.2928932188134524,0.0,1.0,3,24,7,4,2,3
XNTLT8TWCW,1,2,inicialization,0.1339745962155613,0.0,0.0,3,31,3,2,2,3
QG1DRLRXU7,1,7,inicialization,0.3291796067500631,0.380952380952381,1.0,4,17,2,4,1,2
8T9AZOM7PT,1,5,inicialization,0.2928932188134524,0.0,1.0,4,24,6,4,2,3
6A36CZSUO7,1,2,inicialization,0.1339745962155613,0.0,1.0,3,6,5,1,3,4
MLTP5TMWS1,1,3,inicialization,0.18350341907227397,0.0,1.0,4,13,8,8,3,4
XHUI78JWB6,1,0,inicialization,0.0425728922436619,0.0,1.0,4,7,6,1,4,5
4TK8Q8D7DN,1,2,inicialization,0.1339745962155613,0.0,0.0,4,22,4,1,3,4
C7PVB5SKQ7,1,3,inicialization,0.18350341907227397,0.0,0.0,4,18,5,5,3,5
L2IBDVBVPJ,1,6,inicialization,0.27543116269052814,0.5238095238095237,0.0,3,21,3,8,2,3
0S5X6DEBDS,1,2,inicialization,0.1339745962155613,0.0,0.0,4,2,4,4,3,4
2B9L7C662R,1,7,inicialization,0.3291796067500631,0.380952380952381,1.0,3,26,5,8,2,3
8387YY77GB,1,5,inicialization,0.2928932188134524,0.0,1.0,4,24,3,7,2,3
