dem,error,generation,hyperparameter
0.1304347826,0.3191489362,0,"OrderedDict([('criterion', 0.294821972063547), ('max_depth', 4.316957449053098), ('min_samples_split', 0.7014593128215113), ('min_samples_leaf', 0.31846894988749497), ('max_leaf_nodes', 944.7011220190848), ('min_impurity_decrease', 0.8552849898846274), ('class_weight', 0.5039379526757235)])"
0.2434782609,0.335106383,0,"OrderedDict([('criterion', 0.21392344202255997), ('max_depth', 14.529892223235063), ('min_samples_split', 0.5084593571130607), ('min_samples_leaf', 0.42424290597429587), ('max_leaf_nodes', 280.8739101844673), ('min_impurity_decrease', 0.5818486651565271), ('class_weight', 0.4351955667478724)])"
0,0.3510638298,0,"OrderedDict([('criterion', 0.9455102357958156), ('max_depth', 0.8059330478849008), ('min_samples_split', 0.8139699431029581), ('min_samples_leaf', 0.17123163454430126), ('max_leaf_nodes', 63.0631288398324), ('min_impurity_decrease', 0.3855867392315442), ('class_weight', 0.6058452342102335)])"
0.05,0.3457446809,0,"OrderedDict([('criterion', 0.4654226903583416), ('max_depth', 14.92267711476802), ('min_samples_split', 0.9617759916197204), ('min_samples_leaf', 0.25480932033064635), ('max_leaf_nodes', 778.0214833392267), ('min_impurity_decrease', 0.5809176136396005), ('class_weight', 0.43154087230832794)])"
0.0195652174,0.3510638298,0,"OrderedDict([('criterion', 0.16099510486422752), ('max_depth', 5.141830859145353), ('min_samples_split', 0.1724220055465916), ('min_samples_leaf', 0.0384735487576278), ('max_leaf_nodes', 147.47260253304344), ('min_impurity_decrease', 0.49992183569997484), ('class_weight', 0.23280195791760006)])"
0.102173913,0.329787234,0,"OrderedDict([('criterion', 0.9054560174932904), ('max_depth', 6.473405207288706), ('min_samples_split', 0.6157662394201509), ('min_samples_leaf', 0.2673066742417057), ('max_leaf_nodes', 689.4172734591313), ('min_impurity_decrease', 0.826907745791356), ('class_weight', 0.40734955560835784)])"
0.2804347826,0.335106383,0,"OrderedDict([('criterion', 0.8572123489132112), ('max_depth', 3.264868990383655), ('min_samples_split', 0.5692557195868595), ('min_samples_leaf', 0.033433900832358955), ('max_leaf_nodes', 273.3069177536692), ('min_impurity_decrease', 0.08829903040075304), ('class_weight', 0.5138387325065075)])"
0.2804347826,0.335106383,0,"OrderedDict([('criterion', 0.885103399337304), ('max_depth', 3.099403927346749), ('min_samples_split', 0.6165062888696133), ('min_samples_leaf', 0.18014826946593318), ('max_leaf_nodes', 680.5952453905768), ('min_impurity_decrease', 0.42889254590629977), ('class_weight', 0.8642760213223121)])"
0.0065217391,0.3617021277,0,"OrderedDict([('criterion', 0.20433355479031146), ('max_depth', 13.583819647108054), ('min_samples_split', 0.4754479003868657), ('min_samples_leaf', 0.014001139531741522), ('max_leaf_nodes', 809.3651493148124), ('min_impurity_decrease', 0.2648400262889048), ('class_weight', 0.7429585823008857)])"
0.1,0.3244680851,0,"OrderedDict([('criterion', 0.09692246605084753), ('max_depth', 10.007642537563624), ('min_samples_split', 0.10534150755423499), ('min_samples_leaf', 0.367217961355388), ('max_leaf_nodes', 565.1331387731094), ('min_impurity_decrease', 0.030303325692756733), ('class_weight', 0.8811811448256549)])"
0.1717391304,0.3457446809,0,"OrderedDict([('criterion', 0.1168084737086128), ('max_depth', 12.605030983780484), ('min_samples_split', 0.693328716109819), ('min_samples_leaf', 0.4828840512465148), ('max_leaf_nodes', 336.54174841207777), ('min_impurity_decrease', 0.27734785377840465), ('class_weight', 0.33761096137089874)])"
0,0.3457446809,0,"OrderedDict([('criterion', 0.1607525406639022), ('max_depth', 12.86561929868249), ('min_samples_split', 0.6055723338350731), ('min_samples_leaf', 0.38338080243395983), ('max_leaf_nodes', 544.5649567369076), ('min_impurity_decrease', 0.849404229697515), ('class_weight', 0.6261630624117006)])"
0.1304347826,0.329787234,0,"OrderedDict([('criterion', 0.5912133461733754), ('max_depth', 10.50804565658097), ('min_samples_split', 0.24455340489722588), ('min_samples_leaf', 0.2673877205769638), ('max_leaf_nodes', 736.2120390382232), ('min_impurity_decrease', 0.6383887532146532), ('class_weight', 0.4397469203090969)])"
0.0195652174,0.3510638298,0,"OrderedDict([('criterion', 0.3406564442428035), ('max_depth', 5.506239429567518), ('min_samples_split', 0.6976069743350198), ('min_samples_leaf', 0.14170268107043268), ('max_leaf_nodes', 763.7862203547505), ('min_impurity_decrease', 0.6992004911737943), ('class_weight', 0.013205525828937192)])"
0.2804347826,0.335106383,0,"OrderedDict([('criterion', 0.9452602440913731), ('max_depth', 3.485048185360266), ('min_samples_split', 0.43076335347818107), ('min_samples_leaf', 0.24967471483063458), ('max_leaf_nodes', 959.61532441388), ('min_impurity_decrease', 0.7567457209492143), ('class_weight', 0.19810562745983362)])"
0.2804347826,0.335106383,0,"OrderedDict([('criterion', 0.8305164199690948), ('max_depth', 3.1372790521776213), ('min_samples_split', 0.5243142349333868), ('min_samples_leaf', 0.18316003456966742), ('max_leaf_nodes', 866.0039774577646), ('min_impurity_decrease', 0.3354122703168726), ('class_weight', 0.17492770769745003)])"
0.0195652174,0.3457446809,0,"OrderedDict([('criterion', 0.4832397759177043), ('max_depth', 5.032347756508264), ('min_samples_split', 0.16952736374426935), ('min_samples_leaf', 0.11248383886963688), ('max_leaf_nodes', 837.80885586965), ('min_impurity_decrease', 0.6531746959446213), ('class_weight', 0.5623599695199443)])"
0.102173913,0.3404255319,0,"OrderedDict([('criterion', 0.5640523634886646), ('max_depth', 6.676651211072324), ('min_samples_split', 0.8563810191627411), ('min_samples_leaf', 0.4381876110268168), ('max_leaf_nodes', 936.524421161685), ('min_impurity_decrease', 0.9017997899398883), ('class_weight', 0.6532246283509804)])"
0,0.3510638298,0,"OrderedDict([('criterion', 0.15870884571399357), ('max_depth', 0.90230550503965), ('min_samples_split', 0.1500828315110786), ('min_samples_leaf', 0.19878490633768964), ('max_leaf_nodes', 732.7987229488766), ('min_impurity_decrease', 0.9023269529145981), ('class_weight', 0.15390219269570649)])"
0.0195652174,0.3404255319,0,"OrderedDict([('criterion', 0.10261713073674039), ('max_depth', 5.217467581070679), ('min_samples_split', 0.4366350871985466), ('min_samples_leaf', 0.014949550689753052), ('max_leaf_nodes', 436.3098412137251), ('min_impurity_decrease', 0.3405709098982399), ('class_weight', 0.8504672751482961)])"
0.102173913,0.3510638298,0,"OrderedDict([('criterion', 0.9564599375629393), ('max_depth', 7.132208126112979), ('min_samples_split', 0.6623896776731761), ('min_samples_leaf', 0.17468657951288494), ('max_leaf_nodes', 878.6444770881252), ('min_impurity_decrease', 0.930423070381305), ('class_weight', 0.47343604007597295)])"
0.0717391304,0.3244680851,0,"OrderedDict([('criterion', 0.43414479976120135), ('max_depth', 14.275450929358653), ('min_samples_split', 0.36244361992326324), ('min_samples_leaf', 0.13145062461477716), ('max_leaf_nodes', 496.2308649760362), ('min_impurity_decrease', 0.6777351684225555), ('class_weight', 0.6030162514397829)])"
0.0195652174,0.3510638298,0,"OrderedDict([('criterion', 0.11782751630614763), ('max_depth', 5.658294505111306), ('min_samples_split', 0.18998556568661862), ('min_samples_leaf', 0.2740234648304718), ('max_leaf_nodes', 531.5572636788755), ('min_impurity_decrease', 0.36905481122296757), ('class_weight', 0.6051894367027338)])"
0.1956521739,0.2978723404,0,"OrderedDict([('criterion', 0.7575642001459282), ('max_depth', 4.270055391147417), ('min_samples_split', 0.8607926849276891), ('min_samples_leaf', 0.041275167944796), ('max_leaf_nodes', 11.0397776439882), ('min_impurity_decrease', 0.4218751244165817), ('class_weight', 0.4619423789574988)])"
0.2086956522,0.3244680851,0,"OrderedDict([('criterion', 0.9136656576097848), ('max_depth', 14.93010944325601), ('min_samples_split', 0.4115220842894396), ('min_samples_leaf', 0.47935398505586996), ('max_leaf_nodes', 773.5396950424428), ('min_impurity_decrease', 0.68749425297044), ('class_weight', 0.9548974179285122)])"
0.2586956522,0.335106383,0,"OrderedDict([('criterion', 0.2922587857718817), ('max_depth', 2.4904438728599034), ('min_samples_split', 0.5262458191473637), ('min_samples_leaf', 0.42078454136410887), ('max_leaf_nodes', 679.8054063526916), ('min_impurity_decrease', 0.5931767522496716), ('class_weight', 0.24658625833841075)])"
0.2804347826,0.335106383,0,"OrderedDict([('criterion', 0.9602084325557672), ('max_depth', 3.8803982863080115), ('min_samples_split', 0.04007847817342136), ('min_samples_leaf', 0.29879191369639585), ('max_leaf_nodes', 265.06861668878196), ('min_impurity_decrease', 0.03656778885407597), ('class_weight', 0.3016900787188427)])"
0.102173913,0.3457446809,0,"OrderedDict([('criterion', 0.6629153800455584), ('max_depth', 7.7308188001560305), ('min_samples_split', 0.380027496431557), ('min_samples_leaf', 0.0128082698090604), ('max_leaf_nodes', 466.3678052145343), ('min_impurity_decrease', 0.6672789703660533), ('class_weight', 0.3369116625851145)])"
0.0413043478,0.3510638298,0,"OrderedDict([('criterion', 0.4062016540097829), ('max_depth', 5.400434110741081), ('min_samples_split', 0.5544579472998856), ('min_samples_leaf', 0.3839304709344281), ('max_leaf_nodes', 560.0454949876507), ('min_impurity_decrease', 0.83116834640615), ('class_weight', 0.2596680177322134)])"
0.0413043478,0.3457446809,0,"OrderedDict([('criterion', 0.08098895981872023), ('max_depth', 6.55753602420228), ('min_samples_split', 0.37141077797845723), ('min_samples_leaf', 0.07137938234761912), ('max_leaf_nodes', 402.97733232845735), ('min_impurity_decrease', 0.6402655788587586), ('class_weight', 0.8148298736346301)])"
0,0.3457446809,1,"OrderedDict([('criterion', 0.1607525406639022), ('max_depth', 12.86561929868249), ('min_samples_split', 0.6055723338350731), ('min_samples_leaf', 0.38338080243395983), ('max_leaf_nodes', 544.5649567369076), ('min_impurity_decrease', 0.849404229697515), ('class_weight', 0.6261630624117006)])"
0.002173913,0.329787234,1,"OrderedDict([('criterion', 0.7179876328111183), ('max_depth', 10.908464154021946), ('min_samples_split', 0.5322968294914107), ('min_samples_leaf', 0.22948360585004224), ('max_leaf_nodes', 614.5624332197398), ('min_impurity_decrease', 0.7548013397584225), ('class_weight', 0.5224577477363799)])"
0.0717391304,0.3244680851,1,"OrderedDict([('criterion', 0.43414479976120135), ('max_depth', 14.275450929358653), ('min_samples_split', 0.36244361992326324), ('min_samples_leaf', 0.13145062461477716), ('max_leaf_nodes', 496.2308649760362), ('min_impurity_decrease', 0.6777351684225555), ('class_weight', 0.6030162514397829)])"
0.1304347826,0.3085106383,1,"OrderedDict([('criterion', 0.27046444677528797), ('max_depth', 4.02526272236426), ('min_samples_split', 0.24553761993530987), ('min_samples_leaf', 0.23788051991506387), ('max_leaf_nodes', 330.96229591576457), ('min_impurity_decrease', 0.3186403697481691), ('class_weight', 0.40008271069699197)])"
0.1304347826,0.3085106383,1,"OrderedDict([('criterion', 0.43695800695059395), ('max_depth', 4.7847673840871865), ('min_samples_split', 0.26670906973833836), ('min_samples_leaf', 0.10741247166737525), ('max_leaf_nodes', 524.3802251295679), ('min_impurity_decrease', 0.5635537731539584), ('class_weight', 0.4347497596626813)])"
0.1804347826,0.2978723404,1,"OrderedDict([('criterion', 0.8903229628833975), ('max_depth', 1.2468199775636646), ('min_samples_split', 0.44480628482569007), ('min_samples_leaf', 0.16280793990499906), ('max_leaf_nodes', 366.52969395966574), ('min_impurity_decrease', 0.9518078233453463), ('class_weight', 0.7271286622602572)])"
0.1804347826,0.2978723404,1,"OrderedDict([('criterion', 0.7416857766493932), ('max_depth', 1.5852931717143994), ('min_samples_split', 0.49121428051664134), ('min_samples_leaf', 0.08384070560510641), ('max_leaf_nodes', 231.00149757517065), ('min_impurity_decrease', 0.26357882566605007), ('class_weight', 0.6055532404243414)])"
0,0.3510638298,1,"OrderedDict([('criterion', 0.44821447737088294), ('max_depth', 0.9083605810216977), ('min_samples_split', 0.22609104843185246), ('min_samples_leaf', 0.23257990982476662), ('max_leaf_nodes', 64.55910283202428), ('min_impurity_decrease', 0.3950284916399618), ('class_weight', 0.36285231473369406)])"
0,0.3510638298,1,"OrderedDict([('criterion', 0.7289956212802844), ('max_depth', 0.6780848086470237), ('min_samples_split', 0.18928963922959552), ('min_samples_leaf', 0.12935837001100428), ('max_leaf_nodes', 535.1828138742158), ('min_impurity_decrease', 0.17172025852210027), ('class_weight', 0.8585991389601567)])"
0,0.3510638298,1,"OrderedDict([('criterion', 0.9455102357958156), ('max_depth', 0.8059330478849008), ('min_samples_split', 0.8139699431029581), ('min_samples_leaf', 0.17123163454430126), ('max_leaf_nodes', 63.0631288398324), ('min_impurity_decrease', 0.3855867392315442), ('class_weight', 0.6058452342102335)])"
0,0.3510638298,1,"OrderedDict([('criterion', 0.15870884571399357), ('max_depth', 0.90230550503965), ('min_samples_split', 0.1500828315110786), ('min_samples_leaf', 0.19878490633768964), ('max_leaf_nodes', 732.7987229488766), ('min_impurity_decrease', 0.9023269529145981), ('class_weight', 0.15390219269570649)])"
0.0086956522,0.3404255319,1,"OrderedDict([('criterion', 0.7954980162573743), ('max_depth', 9.008300673303284), ('min_samples_split', 0.7842952396925095), ('min_samples_leaf', 0.06249365250415882), ('max_leaf_nodes', 399.8644761905897), ('min_impurity_decrease', 0.6412442841440985), ('class_weight', 0.542287047259217)])"
0.0804347826,0.3244680851,1,"OrderedDict([('criterion', 0.5496548352003106), ('max_depth', 7.510391320281327), ('min_samples_split', 0.6297224332124578), ('min_samples_leaf', 0.17229463880807175), ('max_leaf_nodes', 260.08574102755017), ('min_impurity_decrease', 0.41555176324539034), ('class_weight', 0.5991303889815854)])"
