id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
XNDA2DM5WG,1,3,inicialization,0.2667109933868037,0.04626682596575071,0.0,,2,,,39,2660
8B7L2SOIU1,1,3,inicialization,0.25578103884211156,0.046769149077392824,1.0,39,2,2660,,39,2485
ARMBE4LB15,1,2,inicialization,0.20784216537822386,0.049919730961547004,0.0,10,4,2204,6,10,239
9YKDGR27AX,1,1,inicialization,0.24142982002132884,0.03967998584008148,0.0,28,29,776,6,28,776
3SW9DI4GRB,1,1,inicialization,0.32978946932791964,0.007717155626355221,1.0,33,30,2151,2,33,892
8S8B8NH9BU,1,1,inicialization,0.28393721003670525,0.020919863710783693,0.0,33,34,2031,4,31,763
PQ2TF3Y2N7,1,1,inicialization,0.2540017162578343,0.0353190849152617,1.0,22,12,1226,5,22,1105
8FL1LRPPRA,1,5,inicialization,0.2170442902469324,0.09210035842293907,1.0,4,8,832,7,4,15
RJBMDKFTPU,1,3,inicialization,0.22235515100563075,0.058137793707686236,0.0,38,32,390,6,26,390
4KIRQEV916,1,0,inicialization,0.29628390874169985,0.012362316916677774,1.0,4,36,784,5,4,15
QN0EYYKS7A,1,1,inicialization,0.3642152370513323,0.0033934244878092157,0.0,25,28,1283,1,25,941
A3WPA6UO92,1,2,inicialization,0.5182244899223412,0.0020645161290322456,0.0,4,38,925,2,4,12
1LUIRS3CH6,1,2,inicialization,0.24924933181375475,0.040425151555378624,0.0,28,24,561,5,28,561
4HBJAMNC5Z,1,3,inicialization,0.20869332672475127,0.062143988672065165,0.0,20,31,96,6,15,96
97G1HSSCJ8,1,0,inicialization,0.1979682570827147,0.05523713438647726,1.0,11,23,366,8,11,240
H541SZ2BMT,1,1,inicialization,0.3657981229682492,0.0019307048984468222,1.0,24,28,1855,1,24,881
87UYMULBQ8,1,1,inicialization,0.30306473817815116,0.013869286251603996,0.0,6,19,533,5,6,42
HD88MHASSZ,1,0,inicialization,0.2866314162627537,0.014141156688349032,1.0,7,10,423,5,7,68
6QHPO9LXJ1,1,1,inicialization,0.2312461408968196,0.045073144829417267,1.0,30,11,1164,6,30,1164
0XXQ10WQ95,1,2,inicialization,0.290750670260578,0.020552767821584994,0.0,15,11,1700,4,15,752
XK6Y697TVV,1,5,inicialization,0.22286331894619804,0.08731572193459891,1.0,33,25,1934,8,33,908
I57G4D6OKN,1,0,inicialization,0.2193371863621405,0.037329793353688245,1.0,14,27,1707,6,14,429
