id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
03D5SGDKHK,1,0,inicialization,0.2742356903769896,0.021684893888162415,0.0,,2,,,36,2581
X0S8P3KFG4,1,0,inicialization,0.26910418507130407,0.02439757663786113,1.0,36,2,2581,,36,2502
S6M3HGBYXD,1,1,inicialization,0.2623671988223629,0.03436881716124773,1.0,20,31,2553,4,20,662
RX1V4ZKXDH,1,1,inicialization,0.20679251922663455,0.08865906006353874,0.0,12,11,2348,9,12,383
1FOO2S8464,1,0,inicialization,0.25086540714207495,0.027449905630810068,0.0,18,8,940,5,18,940
16V0KXIDAM,1,0,inicialization,0.21248872254142914,0.037139143124994,1.0,35,31,350,6,23,350
PZE8XHTVNV,1,3,inicialization,0.31617788888619236,0.031822160674763844,0.0,22,14,2044,3,22,1170
0Y87EVF1P5,1,4,inicialization,0.28757244297800877,0.041306712983737004,0.0,33,14,1173,4,32,1173
713ZW9MW5Q,1,2,inicialization,0.23949305611101812,0.039454536417394825,1.0,30,28,313,5,22,313
XB94384A95,1,2,inicialization,0.32613064055668073,0.01773029326934361,1.0,25,36,2102,3,25,714
CU6Y4W5JQV,1,0,inicialization,0.4476281512947775,0.0005671125789229459,0.0,10,18,1052,2,10,163
8SVL1SV9G2,1,1,inicialization,0.20738564904182588,0.05288989248677656,0.0,28,8,466,7,26,466
J7BKNHEMDM,1,2,inicialization,0.26377255299919167,0.03518686756419798,1.0,24,18,754,4,24,754
XP4CB18Y6O,1,2,inicialization,0.3618479981535927,0.005363235089046681,0.0,24,28,1574,2,24,871
DOZ2F0UB66,1,0,inicialization,0.5926638761178029,0.0005170630816959676,0.0,3,35,48,3,3,7
6G0IKLCLNF,1,1,inicialization,0.29779628818263104,0.012251081414309084,1.0,6,38,1544,4,6,39
AEJFFUKQH6,1,0,inicialization,0.3693759217220255,0.0007680009057232651,1.0,10,29,133,3,10,133
8OMRBLDCJM,1,4,inicialization,0.22484491696551623,0.05501647836550072,1.0,14,13,1089,6,14,538
RJTUF3BYYL,1,1,inicialization,0.29331204302299385,0.01686219336916639,1.0,8,15,2389,5,8,99
A41877LZ7H,1,1,inicialization,0.4113313156385968,0.0016512882395417483,0.0,19,27,717,1,19,717
ERQK26VOB9,1,2,inicialization,0.21975775816658905,0.05131971894963705,1.0,26,36,1393,6,26,702
