id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
2C4BHZQDBS,crossover,0.3168699489360268,0.27450980392156865,0.0,7,22,63,2,7,32
4B7P9BDRPS,crossover,0.31233082889452657,0.27450980392156865,0.0,7,25,63,2,7,30
FI4PC7CWSH,mutation,0.3168699489360268,0.27450980392156865,0.0,7,22,62,2,7,32
K81909OXN3,crossover,0.3508980562859688,0.0,0.0,7,31,61,2,7,29
TJN13A2SY7,mutation,0.3819641968556725,0.09313725490196084,0.0,7,31,61,3,7,29
IOC2D8325H,crossover,0.3508980562859688,0.0,0.0,7,31,63,2,7,29
N63LXLYH0Q,mutation,0.35060467686140073,0.019607843137254832,0.0,7,32,62,2,7,27
UF8NBJBIG2,crossover,0.35699119954675773,0.0980392156862745,0.0,7,24,71,3,7,32
NISX0L0LZG,mutation,0.31233082889452657,0.27450980392156865,0.0,7,26,70,2,7,30
GKOMZ91902,crossover,0.3508980562859688,0.0,0.0,7,31,62,2,7,29
QV7Y8N52ZI,crossover,0.3508980562859688,0.0,0.0,7,31,61,2,7,29
LDF3ENE8WR,mutation,0.31233082889452657,0.27450980392156865,0.0,7,24,69,2,7,30
ADTNGFIS1E,mutation,0.31233082889452657,0.27450980392156865,0.0,7,24,62,2,7,30
VV8R3W49M1,mutation,0.3819641968556725,0.09313725490196084,0.0,7,31,60,3,7,29
D8WGTJ9C82,crossover,0.34292615959389183,0.039215686274509776,0.0,6,31,60,2,6,25
7Q0XFD5NV4,crossover,0.3508980562859688,0.0,0.0,7,31,62,2,7,29
9PSROK2IUP,crossover,0.3508980562859688,0.0,0.0,7,31,61,2,7,29
CFQH4T1OAJ,crossover,0.3508980562859688,0.0,0.0,7,31,62,2,7,29
IVY1VPQ3OW,crossover,0.3508980562859688,0.0,0.0,7,31,61,2,7,29
M4G1AG74NI,mutation,0.31233082889452657,0.27450980392156865,0.0,7,28,61,2,7,30
6LWW1VLEM0,mutation,0.31233082889452657,0.27450980392156865,0.0,7,29,61,2,7,30
350QF64TOG,crossover,0.35699119954675773,0.0980392156862745,0.0,7,25,66,3,7,32
3ORZE5YVMC,crossover,0.31242316446675955,0.23529411764705888,0.0,7,21,64,2,7,33
FBQ64BULWX,mutation,0.34292615959389183,0.039215686274509776,0.0,6,31,60,2,6,25
2Z5E8XTJ98,crossover,0.3508980562859688,0.0,0.0,7,31,60,2,7,29
TUFWXDM4KB,crossover,0.35699119954675773,0.0980392156862745,0.0,7,24,65,3,7,32
V5VNLZ69NL,crossover,0.31233082889452657,0.27450980392156865,0.0,7,23,64,2,7,31
VKJ4NXTS08,crossover,0.31233082889452657,0.27450980392156865,0.0,7,27,62,2,7,30
M6DLKSMA1P,crossover,0.3191974856890851,0.2549019607843137,0.0,7,20,62,2,7,36
HDADVJ7257,crossover,0.3508980562859688,0.0,0.0,7,31,64,2,7,29
LWIHBQQXYF,crossover,0.3508980562859688,0.0,0.0,7,31,63,2,7,29
KLGVXKZPRC,crossover,0.3508980562859688,0.0,0.0,7,31,62,2,7,29
ZZAQ6KT4BM,crossover,0.34292615959389183,0.039215686274509776,0.0,6,31,62,2,6,25
DVUFNGBXL5,crossover,0.31233082889452657,0.27450980392156865,0.0,7,27,61,2,7,30
NY4TBJXNRN,mutation,0.2988897693261383,0.27450980392156865,0.0,6,21,59,2,6,28
QTWMHPPYTL,crossover,0.3301030640748498,0.07843137254901955,0.0,7,16,64,3,7,39
H5IP77I941,mutation,0.3191974856890851,0.2549019607843137,0.0,7,20,60,2,7,36
DJ7RBFYPKF,mutation,0.3666416045059029,0.05882352941176472,0.0,8,31,67,2,8,31
AUYTLOZ2AI,mutation,0.34292615959389183,0.039215686274509776,0.0,6,31,67,2,6,25
HFA650BOZM,mutation,0.35060467686140073,0.019607843137254832,0.0,7,32,61,2,7,27
ORE5I7RY57,crossover,0.3508980562859688,0.0,0.0,7,31,60,2,7,29
YTZQXANWTH,mutation,0.35148521329777793,0.33333333333333337,0.0,9,24,63,2,9,35
5F9JPG9VEI,crossover,0.31233082889452657,0.27450980392156865,0.0,7,23,62,2,7,31
41BNLC0RYW,crossover,0.35699119954675773,0.0980392156862745,0.0,7,23,65,3,7,32
VSZ5V7SIO4,crossover,0.31233082889452657,0.27450980392156865,0.0,7,23,65,2,7,31
OG3AZ2E6S1,mutation,0.3508980562859688,0.0,0.0,7,31,63,2,7,29
ZY6H2G62E2,crossover,0.3508980562859688,0.0,0.0,7,31,63,2,7,29
IZGHF6D1RI,crossover,0.35060467686140073,0.019607843137254832,0.0,7,32,62,2,7,27
Q25XBKZGZW,crossover,0.3508980562859688,0.0,0.0,7,31,62,2,7,29
EGG1S8M521,crossover,0.3301030640748498,0.07843137254901955,0.0,7,16,68,3,7,39
ENVWBBO8UT,crossover,0.2962684494510033,0.1519607843137255,0.0,7,16,68,2,7,39
I0IOL655PD,mutation,0.31233082889452657,0.27450980392156865,0.0,7,24,63,2,7,30
8DKA7MO3YL,crossover,0.31233082889452657,0.27450980392156865,0.0,7,23,61,2,7,31
H4BFEFOP51,crossover,0.3508980562859688,0.0,0.0,7,31,63,2,7,29
QUAEIQGOPN,crossover,0.34292615959389183,0.039215686274509776,0.0,6,31,62,2,6,25
SAN49386M9,crossover,0.31233082889452657,0.27450980392156865,0.0,7,24,68,2,7,30
JF8T5R3I16,crossover,0.3004309716712543,0.3137254901960784,0.0,6,23,66,2,6,26
