id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
UXUJT3TACS,mutation,0.5888713541317825,0.09398458105092311,0.0,13,34,163,9,13,163
6VFOMD3KBY,crossover,0.3773785413677999,0.1624568878068574,1.0,19,20,261,4,16,261
KMXU6ZRJPW,crossover,0.40293948651995504,0.16983668086833026,0.0,15,20,167,3,15,167
JWG5RJVBPZ,crossover,0.42201124450532945,0.11072225603570707,0.0,19,32,343,7,19,273
TA0E1X37GV,crossover,0.4070816312140644,0.09365489957395007,0.0,12,28,235,6,12,235
7MMMPVVDH8,crossover,0.3964578079072858,0.13681781294380202,1.0,14,28,257,3,14,257
J2PDJ0M1L9,crossover,0.44855786167360934,0.1343832420369243,0.0,13,14,232,2,13,232
9ST9GPNGEA,mutation,0.4051608667696299,0.21761513491580442,0.0,26,15,893,5,23,516
MVUD5ORCW3,mutation,0.4072714442973774,0.19978697504564824,0.0,25,15,766,5,23,516
K9U0VSWBAO,mutation,0.3911710200133651,0.13593020896733615,1.0,24,9,630,5,21,630
5YMWUXFIPK,crossover,0.38948458008696296,0.15271860417934674,0.0,23,2,581,5,23,581
ORCSVHRKVM,crossover,0.4171095565092764,0.09733211604787989,0.0,21,21,839,7,21,382
PXG8R7Y085,crossover,0.3910260779853655,0.11972509636843176,0.0,20,20,792,4,20,409
W30GGU94F0,mutation,0.48467434356503336,0.11579427875836881,1.0,7,32,785,7,7,87
Q3DKNPN47T,crossover,0.4000695051620947,0.15147595861229457,0.0,6,24,586,6,6,58
TOU3SH150Y,crossover,0.4043842934792955,0.14564313248123345,1.0,20,15,890,5,20,528
4IVS9Z92R2,mutation,0.3942228135668605,0.23138567660783116,0.0,15,13,414,5,15,414
QCVUS88KDQ,crossover,0.37992280267334044,0.07567457902211394,0.0,24,31,501,4,19,276
J4CNUYS71B,crossover,0.3776248774288068,0.07133799959423814,0.0,24,29,485,4,19,290
EYX9MP9MAC,crossover,0.49905325385094135,0.16653986609860014,1.0,9,31,146,8,9,146
Q0UUICKW0A,crossover,0.46073978473110055,0.06948671130046663,0.0,6,25,130,7,6,54
BVQHJXJLED,mutation,0.3943102336100941,0.0780330695881517,0.0,26,22,397,4,21,373
V5G7Z2FSF8,crossover,0.3924116859741853,0.09652059241225408,0.0,24,21,386,4,21,386
1UXA1W4RE6,mutation,0.41361112952233337,0.18086833029011973,1.0,18,11,393,3,18,393
HHICYWG4ZM,crossover,0.4004171518307721,0.06616453641712317,0.0,13,11,376,3,13,376
JP4DOYRI8P,mutation,0.43818057594738435,0.138542300669507,1.0,10,19,844,7,10,229
Y3386YVUQW,mutation,0.43942491728475186,0.12844897545141004,1.0,10,16,587,7,10,240
JL89WTZ7TC,mutation,0.42061387496093483,0.08789815378372895,0.0,18,21,866,7,18,366
BSN5F7ZK0Q,crossover,0.411460945591097,0.13544836680868333,0.0,16,18,712,6,16,402
KHCS1FBQ8L,crossover,0.5952262878498773,0.09766179752485292,0.0,18,35,164,9,17,164
SEG9SQC5MG,crossover,0.6676905309597381,0.04133698518969364,0.0,9,34,163,9,9,89
PG8FT1Q8XO,mutation,0.4606579608606245,0.16098600121728548,1.0,11,21,901,7,11,257
J5Q6QYUNJ8,mutation,0.410812739554682,0.12959018056400895,0.0,8,21,855,6,8,131
KW0SE9IBHL,crossover,0.3846591213932038,0.15941367417326036,1.0,16,32,752,5,16,274
M3C8DWFK2Q,crossover,0.3693908890920622,0.15677622235747618,0.0,11,31,599,5,11,217
T27J6QI831,crossover,0.3880587264107773,0.20310914992899165,1.0,26,23,1077,4,20,384
ELM5T68PDY,crossover,0.39519242511818353,0.09652059241225408,0.0,26,22,950,4,21,374
GROMEVYYCH,crossover,0.38905828029390954,0.16481537837289517,1.0,17,16,332,4,17,332
0T39X7F0TC,mutation,0.3904919021446964,0.07663826333941981,0.0,15,15,320,3,15,320
9EV4V4ELAE,mutation,0.3822132037984516,0.19742848447961048,0.0,11,22,543,5,11,269
MVHU05Z6TC,crossover,0.3876478315825024,0.2182744978697504,0.0,11,20,523,5,11,285
CTVVMH11PX,mutation,0.39689848384882964,0.14516129032258063,0.0,12,17,689,6,12,330
2Q3LM07TE6,mutation,0.40180975889956105,0.19184925948468246,0.0,9,16,700,6,9,192
0JOE6YVQW3,crossover,0.3755844689454051,0.06464292960032458,0.0,21,35,808,4,18,249
DMP4XZKUZG,mutation,0.3796115345460478,0.08143132481233517,0.0,20,33,653,4,19,265
V1A0ZAXRMX,crossover,0.4234464412270521,0.14949786975045648,1.0,23,19,1273,6,23,450
ZG91TK8U4O,mutation,0.4126618248521834,0.12469567863664033,0.0,22,18,1177,6,22,433
OELDLFKLUX,crossover,0.3806526720166654,0.14130655305335765,1.0,17,35,519,5,17,263
2F83Q5T44I,mutation,0.35025747675497787,0.11990261716372486,0.0,7,34,511,5,7,86
4WBD4UBSJ4,crossover,0.4763982280278435,0.10674071819841754,1.0,7,35,554,7,7,86
UGT2YRWSQ0,mutation,0.40164195868344,0.14845810509231083,0.0,9,33,551,6,9,153
N1T52SCTBM,crossover,0.3943102336100941,0.0780330695881517,0.0,26,22,680,4,21,373
9CS8OLIHVP,mutation,0.3894231456638093,0.10255629945222156,0.0,26,17,667,4,22,465
MUWPWUOGSU,crossover,0.4068323612408037,0.10478798945019274,0.0,15,27,905,6,15,297
QTVAU67CZV,mutation,0.38579502199755933,0.08992696287279367,0.0,11,25,897,4,11,234
TQGB25AEL6,crossover,0.3887748472402024,0.1786620004057618,0.0,25,21,846,5,21,391
GX8D8ICXEH,crossover,0.3914755106450565,0.18403834449178336,0.0,25,21,609,5,21,392
LG42WQ3PD5,mutation,0.4215457153012405,0.09827044025157233,0.0,11,29,630,7,11,212
SRJJABV3N2,mutation,0.40622450736209026,0.10676607831203083,0.0,10,27,613,6,10,204
EK8ROSMT75,mutation,0.4093858282779409,0.17440150131872595,1.0,15,27,464,6,15,306
B1E0JLZT6G,crossover,0.3894339865834293,0.1012375735443295,0.0,15,24,396,4,15,326
HZEVFSL636,mutation,0.40303187899762605,0.16836579427875836,1.0,15,37,904,6,15,244
SJ3RHJ45U1,crossover,0.36841722050035175,0.12215966727530941,0.0,14,34,872,5,14,238
J2AR5JMOHS,crossover,0.3911891401931332,0.1681882734834652,1.0,19,29,870,5,19,314
G0RB6BIYCF,crossover,0.4013267690209469,0.12771353215662407,1.0,14,26,667,5,14,303
GNUHUCZENT,crossover,0.43551834145211576,0.12563400284033271,0.0,22,8,1028,7,22,763
WKPL1ANATR,mutation,0.43927733926910695,0.10752688172043012,0.0,20,8,1012,6,20,766
PEZISP14AA,crossover,0.39606494515464385,0.17016636234530336,0.0,14,22,690,5,14,338
31ZTSJTCOM,crossover,0.4003233225579368,0.18492594846824917,0.0,11,18,549,3,11,267
B5FGXENRY7,mutation,0.43660992212207916,0.12581152363562587,0.0,15,19,454,7,15,357
VRUEXSU6ZT,crossover,0.4243732844466682,0.11072225603570707,0.0,12,17,289,7,12,289
HEPM4GSYQ0,crossover,0.4763982280278435,0.10674071819841754,1.0,7,35,580,7,7,86
FWU9I7EKW4,crossover,0.40189459890002044,0.15449381213227836,0.0,6,33,525,6,6,55
