id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
5DTP2SJ05O,inicialization,0.35890060277415425,0.1635135135135135,0.0,,2,,,15,114
1W8JHAM6AI,inicialization,0.38458705548821415,0.013513513513513487,1.0,15,2,114,,15,105
JHQFSFDNTZ,inicialization,0.5139552967104553,0.07027027027027027,0.0,11,12,9,6,7,9
DOR7WMT063,inicialization,0.39589813340769864,0.17162162162162165,1.0,12,3,55,6,12,55
QTM5P5HOVR,inicialization,0.400013392408738,0.17432432432432432,0.0,13,33,2,1,1,2
5MQY1S6L8Q,inicialization,0.3768021831311932,0.05945945945945946,0.0,6,12,102,6,6,29
X74QF9SYFS,inicialization,0.4816866574751917,0.15135135135135136,1.0,9,11,23,6,9,23
T2D7XT749L,inicialization,0.3519403956139403,0.0175675675675675,0.0,9,14,25,3,9,25
D445FP6QYO,inicialization,0.3598413213986159,0.03648648648648656,1.0,14,4,95,5,14,92
TIHVZPCMGQ,inicialization,0.3971186545429132,0.005405405405405406,0.0,15,31,86,7,11,37
4PINS9ECY3,inicialization,0.3372284675759095,0.2608108108108108,1.0,15,12,57,2,15,57
KTMKXIETR8,inicialization,0.39203095805275456,0.005405405405405406,0.0,13,38,33,7,9,29
TOM5IP96OF,inicialization,0.3696442808511051,0.07027027027027033,1.0,11,5,13,2,5,13
VZRNKODAHZ,inicialization,0.4224178166539275,0.037837837837837784,0.0,6,17,20,1,6,20
886LNFSAIX,inicialization,0.39313335069486843,0.09459459459459457,1.0,10,11,35,6,10,35
VR7WRATKR4,inicialization,0.39456946200806864,0.005405405405405406,0.0,9,30,54,7,9,36
JPOE9788X9,inicialization,0.4686725816421087,0.07432432432432434,0.0,6,15,101,8,6,27
R2W7HOBU3M,inicialization,0.40539454691595367,0.04459459459459458,1.0,8,9,109,7,8,54
33XDCD2WSK,inicialization,0.4451234004641499,0.17972972972972973,1.0,13,35,35,8,10,33
O3IQSAIB4I,inicialization,0.36646546231009447,0.1527027027027027,1.0,10,18,51,3,10,43
R19EW8QZ3X,inicialization,0.35318149398450305,0.043243243243243246,1.0,6,21,19,2,6,19
ZOX71RLF4H,inicialization,0.6792936682486738,1.0,1.0,5,12,4,6,3,4
8RX59AYMNS,inicialization,0.39456946200806864,0.005405405405405406,0.0,14,16,114,8,14,61
AMA6FO1140,inicialization,0.4621591310420765,0.10135135135135137,1.0,14,29,75,7,12,38
RDTROQP30B,inicialization,0.3696442808511051,0.07027027027027033,1.0,7,12,14,2,5,14
897ILRGOV5,inicialization,0.3362189140091508,0.11486486486486491,1.0,13,26,94,2,13,38
AE6Q4Y335M,inicialization,0.5279330616091802,0.1972972972972973,1.0,5,21,103,7,5,21
162A5SQKBS,inicialization,0.49689593493866757,0.0972972972972973,1.0,7,18,33,6,7,33
U7W6V4RS6D,inicialization,0.4614126478667898,0.17972972972972973,0.0,14,15,64,9,14,64
UEVM99IUCK,inicialization,0.3803581087518527,0.037837837837837784,0.0,10,23,19,2,8,19
7UDIZM6KFQ,inicialization,0.5372449613526706,0.043243243243243246,0.0,6,6,108,8,6,33
9K6812LMQE,inicialization,0.5353676512562545,0.03378378378378377,1.0,12,32,52,7,11,35
Q3I4QGKNVJ,inicialization,0.5691674182010207,0.010810810810810811,1.0,8,32,37,7,8,31
K6USV5II7X,inicialization,0.36868895463615325,0.06486486486486487,1.0,13,23,20,1,8,20
WLKCAKJSKF,inicialization,1.0,1.0,0.0,14,23,2,5,1,2
NY0PN215IJ,inicialization,0.37884704807273084,0.16081081081081083,1.0,7,5,112,2,7,43
EOKULSG30S,inicialization,0.5120303596593319,0.22432432432432434,0.0,5,26,53,8,5,20
E4NHOBNZ2E,inicialization,0.3971186545429132,0.005405405405405406,0.0,11,27,63,7,11,41
KZSNF5TC2T,inicialization,0.6311296240882744,1.0,1.0,4,14,27,8,4,14
E9Z2S7VW82,inicialization,0.35671094244429125,0.11351351351351346,0.0,14,5,109,6,14,94
8QUYKXJID3,inicialization,0.5158878876774078,0.07027027027027027,0.0,13,16,8,6,7,8
2RNQV1NP99,inicialization,0.5353676512562545,0.03378378378378377,1.0,14,32,108,7,11,35
7PT4O59RJX,inicialization,0.41906546521288945,0.10540540540540544,1.0,11,23,60,6,11,42
TWI6RMA7LD,inicialization,0.3841519808884404,0.032432432432432434,0.0,14,30,67,7,11,39
SCUGICJ9I9,inicialization,0.4708193678692899,0.15135135135135136,1.0,9,23,71,7,9,39
EF1TQC2LH4,inicialization,0.39734083304519086,0.18648648648648652,0.0,10,37,50,5,9,26
MIOW5X011A,inicialization,0.3661484572676451,0.07432432432432434,1.0,14,26,16,2,6,16
7S62M48AI4,inicialization,0.6792936682486738,1.0,0.0,5,34,4,7,3,4
7VCJ50QGKJ,inicialization,0.3554630478523293,0.11486486486486491,1.0,10,30,92,2,10,32
LCQ4R4QHGR,inicialization,0.32570985298831656,0.055405405405405395,0.0,8,37,22,4,8,22
ZYNJDYOBRT,crossover,0.45992277682653626,0.10135135135135137,1.0,10,26,78,7,10,39
IHVG39RFA1,crossover,0.39456946200806864,0.08243243243243248,0.0,9,21,59,7,9,40
R5EYVUHLPZ,mutation,0.3352108935560052,0.032432432432432434,1.0,13,5,77,5,13,77
TXXRET048J,crossover,0.33965769333929263,0.22972972972972971,0.0,12,5,45,3,12,45
DEMLDW336B,mutation,0.45547762182858864,0.052702702702702664,0.0,8,18,87,8,8,41
8U24TH3857,mutation,0.41906546521288945,0.02837837837837842,0.0,7,21,68,7,7,32
0PNIJPXKOM,mutation,0.5029213506819322,0.05675675675675673,1.0,14,36,82,7,10,32
GO3E9XUE43,crossover,0.36879503059176455,0.017567567567567555,0.0,13,34,63,7,11,32
IO5JITU5Z2,crossover,0.34128215411898755,0.11351351351351346,0.0,9,15,17,4,8,17
DGRSHMIQWI,crossover,0.36593720862230905,0.025675675675675635,0.0,8,14,12,3,5,12
0PUJF4WQTO,mutation,0.4405564378450305,0.025675675675675635,0.0,8,19,88,8,8,41
R2Z7FFNLGS,crossover,0.41906546521288945,0.02837837837837842,0.0,7,17,74,7,7,35
RPCXFG1BEC,crossover,0.4621591310420765,0.10135135135135137,1.0,12,28,69,7,12,38
0J29UTOQ3B,crossover,0.3841519808884404,0.032432432432432434,0.0,11,25,69,7,11,42
QA37LU8DA6,mutation,0.36193677277730363,0.09459459459459463,1.0,14,30,71,5,13,36
B7Z5XQC9JQ,crossover,0.3157534185515294,0.10270270270270276,1.0,14,28,53,4,13,38
NU0ZVK7KDH,mutation,0.3849135633958084,0.17162162162162165,0.0,9,19,14,5,9,14
UKGLV5484K,crossover,0.36593720862230905,0.025675675675675635,0.0,10,16,14,3,6,14
QT00AW54YB,mutation,0.5009047961570903,0.05675675675675673,1.0,9,33,84,7,9,32
LOWXADFW4J,crossover,0.40787725276174924,0.05540540540540545,0.0,9,26,52,7,9,38
74Y0CVSUI6,mutation,0.45547762182858864,0.052702702702702664,0.0,7,21,86,8,7,32
OTUR41NVBH,crossover,0.41906546521288945,0.02837837837837842,0.0,7,15,76,7,7,35
GJY6K1G53F,crossover,0.33965769333929263,0.1527027027027027,1.0,15,8,98,2,15,79
XUN7SCNFK4,mutation,0.3768021831311932,0.013513513513513487,1.0,15,6,83,,15,80
6VZQP89PBT,crossover,0.41355885362646694,0.1216216216216216,1.0,7,9,109,5,7,43
BUG2Z3XT8E,crossover,0.37401477145117623,0.025675675675675635,0.0,6,8,105,3,6,34
QP0FQRUV77,crossover,0.4016898042004047,0.0364864864864865,1.0,12,24,36,5,9,36
T5JMCCE36N,crossover,0.35204372968210673,0.10945945945945945,1.0,11,13,29,4,8,29
4NNYM3DDXM,crossover,0.4451234004641499,0.1283783783783784,1.0,10,25,50,7,10,39
F61K7R3JXI,mutation,0.41664992658277156,0.04864864864864865,0.0,8,21,46,6,8,37
MAJRC2Y5NG,crossover,0.4387639194351791,0.18243243243243246,1.0,11,13,66,7,11,58
BSGDUHVIWE,crossover,0.37830827361813213,0.009459459459459474,1.0,10,13,60,6,10,55
9GYF1P0S3M,crossover,0.34977417362535845,0.02972972972972976,1.0,10,24,76,3,10,35
11DO0FY3ZX,crossover,0.32680310915982214,0.11486486486486491,1.0,10,24,67,2,10,35
WHXBY9RJE2,mutation,0.4866193785162257,0.029729729729729704,1.0,11,36,35,7,10,32
SKUDUVW88L,crossover,0.38154796073630304,0.04459459459459458,0.0,10,34,35,7,10,31
KVSRZG2I1V,crossover,0.3504954448694022,0.03648648648648656,1.0,15,14,86,5,15,57
O2N797QLML,crossover,0.3059397964939933,0.10945945945945945,0.0,14,14,85,5,13,57
2LOF1QUP4Y,crossover,0.3576484543209696,0.024324324324324298,1.0,9,34,72,3,9,29
7C5UGBWJLJ,crossover,0.33309900997661246,0.02972972972972976,0.0,9,33,42,3,9,31
XXF71QNR3P,crossover,0.36214669652939835,0.009459459459459474,1.0,12,18,88,,12,47
CLXYYPXZEG,crossover,0.37551413942112055,0.06756756756756754,1.0,11,16,63,7,11,52
Z1AUU0WKHS,crossover,0.32700207381344815,0.025675675675675635,1.0,7,18,30,4,7,30
5E2N52HDGD,crossover,0.3495682430338535,0.10135135135135132,0.0,6,17,23,3,6,23
1Q8AQYDLT1,mutation,0.4405564378450305,0.05135135135135138,1.0,10,29,29,6,10,29
PITQNNEVY3,crossover,0.3362189140091508,0.055405405405405395,1.0,9,27,25,4,8,25
U5HBBOLUO2,crossover,0.3196791341475239,0.10540540540540533,0.0,12,22,75,5,10,39
RUFE3SASQJ,crossover,0.3196791341475239,0.02837837837837842,0.0,10,20,56,5,10,44
QWA3IR6F7G,crossover,0.38764123287413665,0.09459459459459457,1.0,13,21,89,7,13,48
IN7C70P7U3,crossover,0.37551413942112055,0.013513513513513487,1.0,10,13,62,,10,55
2SEHAGH6A0,crossover,0.3318952165961756,0.032432432432432434,1.0,14,15,86,,14,55
SRN6DT71SM,mutation,0.33199544985507046,0.00540540540540535,1.0,13,7,85,,13,74
DU9SVT0YJ0,mutation,0.39967867182058636,0.07162162162162161,0.0,12,25,87,6,12,41
SY4BQX6Q6O,crossover,0.3946800732336181,0.1216216216216216,0.0,11,19,63,6,11,51
ME9IYOUHQF,crossover,0.3554630478523293,0.032432432432432434,1.0,15,11,94,4,15,64
7CR3RS1S91,crossover,0.3362189140091508,0.17567567567567566,0.0,14,11,89,3,14,68
1B7046QNAJ,crossover,0.4214910897308951,0.10540540540540544,1.0,14,29,60,6,12,38
MZ67R21HE1,mutation,0.34977417362535845,0.02972972972972976,0.0,14,29,60,3,13,39
MOOU0PN2AC,crossover,0.3562947087821341,0.00540540540540535,1.0,8,19,49,4,8,42
ATTPR25MLG,crossover,0.3085495996915022,0.1324324324324324,1.0,8,15,30,4,8,30
S399U6AW6V,mutation,0.4330659451229366,0.07837837837837841,1.0,10,30,33,6,10,33
MC9HPZ67MH,crossover,0.40708617325435636,0.017567567567567555,1.0,8,29,29,5,8,29
TSHWUU1X05,crossover,0.35484000570381213,0.0972972972972973,1.0,8,19,18,3,8,18
OZDEIPSPX8,crossover,0.3232317478075878,0.05135135135135127,0.0,7,17,18,3,7,18
SDEI9GPCMH,crossover,0.38154796073630304,0.04459459459459458,0.0,14,30,67,6,11,38
DOTFIHUD3X,crossover,0.4022496529201818,0.07162162162162161,0.0,13,22,51,6,13,42
9GOGU3G7D0,mutation,0.41664992658277156,0.04864864864864865,0.0,8,28,57,6,8,34
Q7GTCIU1E0,crossover,0.31194741091917033,0.055405405405405395,0.0,8,26,53,4,8,31
HMBMIM6Q08,crossover,0.41906546521288945,0.10540540540540544,1.0,10,35,55,6,10,32
1JJM0B7NPO,crossover,0.3433183810800752,0.021621621621621623,1.0,10,35,52,4,10,30
Y56AKIFP8U,crossover,0.40539454691595367,0.021621621621621623,0.0,9,28,75,6,9,36
WJ0AXKF4MM,crossover,0.3644604341915063,0.06351351351351353,0.0,8,24,55,5,8,34
G8LIXKYXCM,crossover,0.33199544985507046,0.08243243243243248,1.0,8,17,42,4,8,42
4FFAP0OR18,mutation,0.322243042748371,0.055405405405405395,1.0,8,17,37,4,8,37
BCXARMFAEW,crossover,0.4239269275402834,0.10540540540540544,1.0,14,24,90,6,12,42
HTES6017SC,mutation,0.40742507801296646,0.14864864864864863,0.0,10,20,77,6,10,47
ZTIC61VBMT,crossover,0.37572862881799485,0.04054054054054057,1.0,12,27,50,5,12,39
QJ8MK268XY,crossover,0.32521350389864456,0.00540540540540535,0.0,9,15,49,4,9,49
RT5EWT75IQ,crossover,0.4029221643055281,0.09864864864864864,0.0,13,34,64,6,11,32
1333ZQXRW0,crossover,0.39734083304519086,0.18648648648648652,0.0,10,34,44,5,9,26
7TGB6MDJ67,mutation,0.366148457267645,0.04054054054054057,1.0,9,22,75,5,9,40
VOP4XTBT5Q,crossover,0.33199544985507046,0.08243243243243248,0.0,8,19,75,4,8,39
7OGTCC27WT,mutation,0.32570985298831656,0.055405405405405395,0.0,12,26,30,5,10,30
E2HVKB0D66,mutation,0.3196791341475239,0.02837837837837842,0.0,10,22,28,5,10,28
